rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Slammers FC HB Koge ECNL G2010/11,Slammers FC,133598,2,2,0,0,6,3.0,8,2,6
2,San Diego Surf ECNL G2010/11,San Diego Surf Soccer Club,132460,1,1,0,0,3,3.0,4,0,4
3,Legends FC (CA) ECNL G2010/11,Legends FC (CA),133024,2,2,0,0,6,3.0,4,2,2
4,Phoenix Rising FC ECNL G2010/11,Phoenix Rising FC,62249,1,1,0,0,3,3.0,2,0,2
5,SLAMMERS FC ECNL G2010/11,Slammers FC,61426,2,1,0,1,4,2.0,4,0,4
6,LA Breakers FC ECNL G2010/11,LA Breakers FC,82166,2,1,0,1,4,2.0,3,1,2
7,So Cal Blues ECNL G2010/11,So Cal Blues,135892,2,1,1,0,3,1.5,8,2,6
8,Legends FC Del Mar ECNL G2010/11,Legends FC - Del Mar,131715,2,1,1,0,3,1.5,5,4,1
9,Eagles SC ECNL G2010/11,Eagles SC,62045,2,1,1,0,3,1.5,4,3,1
10,Beach Futbol Club (CA) ECNL G2010/11,Beach Futbol Club,131922,2,0,0,2,2,1.0,3,3,0
11,LAFC So Cal ECNL G2010/11,LAFC So Cal,133711,1,0,0,1,1,1.0,3,3,0
12,Utah Royals FC-AZ ECNL G2010/11,Utah Royals FC - AZ,77350,2,0,1,1,1,0.5,0,4,-4
13,Arizona Arsenal ECNL G2010/11,Arizona Arsenal Soccer Club,134383,0,0,0,0,0,0.0,0,0,0
14,LV Heat Surf ECNL G2010/11,LV Heat Surf SC ,48247,2,0,2,0,0,0.0,1,5,-4
15,Rebels SC ECNL G2010/11,Rebels Soccer Club,81798,1,0,1,0,0,0.0,0,5,-5
16,Pateadores Soccer Club ECNL G2010/11,Pateadores Soccer Club,130974,2,0,2,0,0,0.0,1,7,-6
17,Sporting California USA ECNL G2010/11,Sporting California USA,134089,2,0,2,0,0,0.0,2,11,-9
