rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Slammers FC HB Koge ECNL G2011/12,Slammers FC,133597,2,2,0,0,6,3.0,10,1,9
2,Beach Futbol Club (CA) ECNL G2011/12,Beach Futbol Club,131923,2,2,0,0,6,3.0,9,0,9
3,So Cal Blues ECNL G2011/12,So Cal Blues,135889,2,2,0,0,6,3.0,8,1,7
4,San Diego Surf ECNL G2011/12,San Diego Surf Soccer Club,132461,1,1,0,0,3,3.0,1,0,1
5,SLAMMERS FC ECNL G2011/12,Slammers FC,89212,2,1,0,1,4,2.0,3,1,2
6,Legends FC (CA) ECNL G2011/12,Legends FC (CA),133027,2,1,1,0,3,1.5,5,6,-1
7,Pateadores Soccer Club ECNL G2011/12,Pateadores Soccer Club,130972,2,1,1,0,3,1.5,1,2,-1
8,Legends FC Del Mar ECNL G2011/12,Legends FC - Del Mar,131712,2,0,0,2,2,1.0,1,1,0
9,Rebels SC ECNL G2011/12,Rebels Soccer Club,94955,1,0,0,1,1,1.0,1,1,0
10,Phoenix Rising FC ECNL G2011/12,Phoenix Rising FC,81125,1,0,0,1,1,1.0,0,0,0
11,Utah Royals FC-AZ ECNL G2011/12,Utah Royals FC - AZ,85099,3,1,2,0,3,1.0,3,4,-1
12,LV Heat Surf ECNL G2011/12,LV Heat Surf SC ,84197,3,0,1,2,2,0.67,2,4,-2
13,LA Breakers FC ECNL G2011/12,LA Breakers FC,84686,2,0,1,1,1,0.5,2,6,-4
14,Arizona Arsenal ECNL G2011/12,Arizona Arsenal Soccer Club,134384,0,0,0,0,0,0.0,0,0,0
15,Eagles SC ECNL G2011/12,Eagles SC,25917,2,0,2,0,0,0.0,2,6,-4
16,LAFC So Cal ECNL G2011/12,LAFC So Cal,133713,1,0,1,0,0,0.0,0,5,-5
17,Sporting California USA ECNL G2011/12,Sporting California USA,134084,2,0,2,0,0,0.0,2,12,-10
