rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Slammers FC HB Koge ECNL G2012/13,Slammers FC,133596,2,2,0,0,6,3.0,13,0,13
2,Beach Futbol Club (CA) ECNL G2012/13,Beach Futbol Club,131924,2,2,0,0,6,3.0,8,2,6
3,So Cal Blues ECNL G2012/13,So Cal Blues,135886,2,2,0,0,6,3.0,4,0,4
4,Phoenix Rising FC ECNL G2012/13,Phoenix Rising FC,99201,1,1,0,0,3,3.0,3,0,3
5,Rebels SC ECNL G2012/13,Rebels Soccer Club,90410,1,1,0,0,3,3.0,2,0,2
6,San Diego Surf ECNL G2012/13,San Diego Surf Soccer Club,132462,1,1,0,0,3,3.0,2,1,1
7,SLAMMERS FC ECNL G2012/13,Slammers FC,100497,2,1,0,1,4,2.0,5,2,3
8,Legends FC (CA) ECNL G2012/13,Legends FC (CA),133029,2,1,1,0,3,1.5,5,2,3
9,LV Heat Surf ECNL G2012/13,LV Heat Surf SC ,100065,2,1,1,0,3,1.5,1,3,-2
10,Pateadores Soccer Club ECNL G2012/13,Pateadores Soccer Club,126748,2,1,1,0,3,1.5,3,8,-5
11,Legends FC Del Mar ECNL G2012/13,Legends FC - Del Mar,131709,2,0,1,1,1,0.5,2,4,-2
12,Arizona Arsenal ECNL G2012/13,Arizona Arsenal Soccer Club,134386,0,0,0,0,0,0.0,0,0,0
13,LA Breakers FC ECNL G2012/13,LA Breakers FC,79075,2,0,2,0,0,0.0,1,4,-3
14,LAFC So Cal ECNL G2012/13,LAFC So Cal,133714,1,0,1,0,0,0.0,1,5,-4
15,Utah Royals FC-AZ ECNL G2012/13,Utah Royals FC - AZ,90258,2,0,2,0,0,0.0,1,5,-4
16,Eagles SC ECNL G2012/13,Eagles SC,64010,2,0,2,0,0,0.0,2,8,-6
17,Sporting California USA ECNL G2012/13,Sporting California USA,134082,2,0,2,0,0,0.0,0,9,-9
