rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
11,Internationals SC ECNL G07,Internationals SC,35240,3,2,1,0,6,2.0,12,7,5,G2007,Champions League
12,MVLA ECNL G07,MVLA,35169,3,2,1,0,6,2.0,9,4,5,G2007,Champions League
13,Crossfire Premier ECNL G07,No Club Selection,26840,3,2,1,0,6,2.0,8,6,2,G2007,Champions League
14,Bay Area Surf ECNL G07,Bay Area Surf,65152,3,2,1,0,6,2.0,5,4,1,G2007,Champions League
15,Phoenix Rising ECNL G07,Phoenix Rising FC,35183,3,2,1,0,6,2.0,5,4,1,G2007,Champions League
16,SLAMMERS FC ECNL G07,Slammers FC,18022,3,1,0,2,5,1.67,7,2,5,G2007,Champions League
17,Concorde Fire Platinum ECNL G07,Concorde Fire ,35256,3,1,0,2,5,1.67,4,3,1,G2007,Champions League
18,Penn Fusion SA ECNL G07,No Club Selection,44736,3,1,0,2,5,1.67,2,1,1,G2007,Champions League
19,Indiana Fire ECNL G07,Indy Eleven Academy,23407,3,1,1,1,4,1.33,7,3,4,G2007,Champions League
20,Michigan Hawks  ECNL G07,Michigan Hawks,35251,3,1,1,1,4,1.33,6,3,3,G2007,Champions League
21,Jacksonville FC ECNL G07,No Club Selection,35265,3,1,1,1,4,1.33,4,4,0,G2007,Champions League
22,Wilmington Hammerheads ECNL G07,No Club Selection,35272,3,1,1,1,4,1.33,4,5,-1,G2007,Champions League
23,Beach FC ECNL G07,Beach Futbol Club,46284,3,1,1,1,4,1.33,6,8,-2,G2007,Champions League
24,GSA ECNL G07,Gwinnett Soccer Academy,33371,3,1,1,1,4,1.33,3,5,-2,G2007,Champions League
25,Tennessee Soccer Club ECNL G07,Tennessee SC,35277,3,1,1,1,4,1.33,1,5,-4,G2007,Champions League
26,Loudoun Soccer ECNL G07,Northern Virginia Alliance,35287,3,1,2,0,3,1.0,5,5,0,G2007,Champions League
27,Ohio Premier ECNL G07,Ohio Premier,33377,3,1,2,0,3,1.0,4,4,0,G2007,Champions League
28,VA Union ECNL G07,Fairfax Virginia Union,25892,3,1,2,0,3,1.0,6,7,-1,G2007,Champions League
29,San Juan SC ECNL G07,San Juan Soccer Club,35173,3,1,2,0,3,1.0,3,6,-3,G2007,Champions League
30,Minnesota Thunder ECNL G07,No Club Selection,35253,3,1,2,0,3,1.0,3,6,-3,G2007,Champions League
31,Match Fit Academy ECNL G07,Match Fit Surf,34504,3,1,2,0,3,1.0,2,7,-5,G2007,Champions League
32,Atlanta Fire United ECNL G07,Atlanta Fire United,34662,3,1,2,0,3,1.0,3,9,-6,G2007,Champions League
33,Portland Thorns ECNL G07,Portland Thorns FC,45860,3,1,2,0,3,1.0,5,15,-10,G2007,Champions League
34,FC Dallas ECNL G07,FC Dallas Youth,46783,3,0,1,2,2,0.67,1,2,-1,G2007,Champions League
35,Sporting Blue Valley ECNL G07,Sporting Blue Valley,46618,3,0,2,1,1,0.33,6,8,-2,G2007,Champions League
36,Utah Avalanche ECNL G07,Utah Avalanche,35178,3,0,2,1,1,0.33,3,7,-4,G2007,Champions League
37,Seattle United ECNL G07,Seattle United,35177,3,0,2,1,1,0.33,3,7,-4,G2007,Champions League
38,FL Premier FC ECNL G07,Florida Premier FC,69290,3,0,2,1,1,0.33,2,6,-4,G2007,Champions League
39,SLSG Navy ECNL G07,St. Louis Scott Gallagher,34464,3,0,2,1,1,0.33,4,9,-5,G2007,Champions League
40,NC Courage ECNL G07,NC Courage Academy,44729,3,0,2,1,1,0.33,4,9,-5,G2007,Champions League
41,Kansas City Athletics ECNL G07,KC Athletics,19372,3,0,2,1,1,0.33,3,8,-5,G2007,Champions League
42,La Roca FC ECNL G07,La Roca FC,45849,3,0,3,0,0,0.0,2,10,-8,G2007,Champions League
43,Connecticut FC ECNL G07,Connecticut FC,24089,3,0,3,0,0,0.0,1,9,-8,G2007,Champions League
44,Charlotte SA ECNL G07,Charlotte Soccer Academy,44722,3,0,3,0,0,0.0,0,12,-12,G2007,Champions League
1,Slammers FC HB Koge ECNL G08,Slammers FC HB Koge,29720,3,3,0,0,9,3.0,15,1,14,G2008,Champions League
2,San Diego Surf ECNL G08,San Diego Surf Soccer Club,45875,3,3,0,0,9,3.0,16,3,13,G2008,Champions League
3,Penn Fusion SA ECNL G08,Penn Fusion Soccer Academy,44737,3,3,0,0,9,3.0,15,5,10,G2008,Champions League
4,Real Colorado National ECNL G08,Real Colorado,45853,3,3,0,0,9,3.0,9,0,9,G2008,Champions League
5,Sting Dallas Black ECNL G08,Sting Soccer Club,11429,3,3,0,0,9,3.0,10,2,8,G2008,Champions League
6,So Cal Blues ECNL G08,So Cal Blues,29588,3,3,0,0,9,3.0,9,2,7,G2008,Champions League
7,Beach FC ECNL G08,Beach Futbol Club,60045,3,3,0,0,9,3.0,8,1,7,G2008,Champions League
8,Legends FC ECNL G08,Legends FC (CA),8362,3,3,0,0,9,3.0,5,0,5,G2008,Champions League
9,Crossfire Premier ECNL G08,No Club Selection,21818,3,2,0,1,7,2.33,12,2,10,G2008,Champions League
10,Michigan Hawks ECNL G08,Michigan Hawks,46771,3,2,0,1,7,2.33,9,2,7,G2008,Champions League
11,FC Dallas ECNL G08,FC Dallas Youth,46900,3,2,0,1,7,2.33,5,2,3,G2008,Champions League
12,NC Courage ECNL G08,NC Courage Academy,44728,3,2,1,0,6,2.0,8,3,5,G2008,Champions League
13,Eclipse Select SC ECNL G08,Eclipse Select Soccer Club,46760,3,2,1,0,6,2.0,6,4,2,G2008,Champions League
14,CESA Liberty ECNL G08,Carolina Elite Soccer Academy,27972,3,2,1,0,6,2.0,6,5,1,G2008,Champions League
15,Solar SC ECNL G08,Solar SC,46791,3,2,1,0,6,2.0,4,3,1,G2008,Champions League
16,De Anza Force ECNL G08,Force,45841,3,2,1,0,6,2.0,4,4,0,G2008,Champions League
17,Sporting Blue Valley ECNL G08,Sporting Blue Valley,46617,3,2,1,0,6,2.0,7,8,-1,G2008,Champions League
18,MVLA ECNL G08,MVLA,30872,3,2,1,0,6,2.0,4,5,-1,G2008,Champions League
19,PDA Blue ECNL G08,PDA Blue (North),3701,3,1,0,2,5,1.67,3,2,1,G2008,Champions League
20,SLSG Navy ECNL G08,St. Louis Scott Gallagher,46768,3,1,1,1,4,1.33,6,3,3,G2008,Champions League
21,Kings Hammer SC ECNL G08, Kings Hammer Columbus,47017,3,1,1,1,4,1.33,5,5,0,G2008,Champions League
22,Eagles SC ECNL G08,Eagles SC,6122,3,1,1,1,4,1.33,5,6,-1,G2008,Champions League
23,Ohio Premier ECNL G08,Ohio Premier,46800,3,1,1,1,4,1.33,5,7,-2,G2008,Champions League
24,Concorde Fire Premier ECNL G08,Concorde Fire ,46809,3,1,1,1,4,1.33,5,7,-2,G2008,Champions League
25,Wilmington Hammerheads ECNL G08,Wilmington Hammerheads,46818,3,1,2,0,3,1.0,8,6,2,G2008,Champions League
26,Bethesda SC ECNL G08,Bethesda SC,46815,3,1,2,0,3,1.0,5,7,-2,G2008,Champions League
27,Kansas City Athletics ECNL G08,KC Athletics,19672,3,1,2,0,3,1.0,4,7,-3,G2008,Champions League
