rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,SLSG Navy ECNL G06,St. Louis Scott Gallagher,20075,3,3,0,0,9,3.0,12,1,11
2,Colorado Rapids ECNL G06,Colorado Storm,21349,3,3,0,0,9,3.0,12,1,11
3,Solar SC ECNL G06,Solar SC,11423,3,3,0,0,9,3.0,11,1,10
4,San Diego Surf ECNL G06,San Diego Surf Soccer Club,45877,3,3,0,0,9,3.0,10,1,9
5,VDA ECNL G06,Virginia Development Academy,14649,3,3,0,0,9,3.0,12,4,8
6,Charlotte SA ECNL G06,Charlotte Soccer Academy,44723,3,3,0,0,9,3.0,7,1,6
7,SLAMMERS FC ECNL G06,Slammers FC,9292,3,3,0,0,9,3.0,9,4,5
8,Connecticut FC ECNL G06,Connecticut FC,11478,3,3,0,0,9,3.0,6,1,5
9,Internationals SC ECNL G06,Internationals SC,20363,3,2,0,1,7,2.33,12,3,9
10,PDA Blue ECNL G06,PDA Blue (North),1822,3,2,0,1,7,2.33,8,2,6
11,Mustang SC ECNL G06,Mustang Soccer,13301,3,2,0,1,7,2.33,4,2,2
12,So Cal Blues ECNL G06,So Cal Blues,13344,3,2,1,0,6,2.0,9,2,7
13,NC Courage ECNL G06,NC Courage Academy,44730,3,2,1,0,6,2.0,10,4,6
14,FC Dallas ECNL G06,FC Dallas Youth,46784,3,2,1,0,6,2.0,7,1,6
15,MVLA ECNL G06,MVLA,20426,3,2,1,0,6,2.0,6,1,5
16,Portland Thorns ECNL G06,Portland Thorns FC,45861,3,2,1,0,6,2.0,6,2,4
17,United Futbol Academy ECNL G06,United Futbol Academy,45836,3,2,1,0,6,2.0,6,4,2
18,World Class FC ECNL G06,World Class FC,20357,3,2,1,0,6,2.0,5,5,0
19,La Roca FC ECNL G06,La Roca FC,45850,3,2,1,0,6,2.0,6,7,-1
20,Slammers FC HB Koge ECNL G06,Slammers FC HB Koge,17118,3,1,1,1,4,1.33,7,6,1
21,NC Fusion ECNL G06,NC Fusion,20316,3,1,1,1,4,1.33,9,9,0
22,Legends FC ECNL G06,Legends FC (CA),4624,3,1,1,1,4,1.33,5,6,-1
23,WNY Flash ECNL G06,WNY Flash Academy,20373,3,1,1,1,4,1.33,6,9,-3
24,Tennessee Soccer Club ECNL G06,Tennessee SC,20371,3,1,2,0,3,1.0,6,7,-1
25,FC Prime ECNL G06,Athletic Club Florida,20328,3,1,2,0,3,1.0,3,6,-3
26,San Juan SC ECNL G06,San Juan Soccer Club,20430,3,1,2,0,3,1.0,2,5,-3
27,Eclipse Select SC ECNL G06,Eclipse Select Soccer Club,20375,3,1,2,0,3,1.0,7,11,-4
28,Concorde Fire Platinum ECNL G06,Concorde Fire ,19885,3,1,2,0,3,1.0,4,8,-4
29,Challenge SC ECNL G06,Challenge SC,20382,3,1,2,0,3,1.0,3,7,-4
30,Minnesota Thunder ECNL G06,No Club Selection,20378,3,1,2,0,3,1.0,2,7,-5
31,Penn Fusion SA ECNL G06,Penn Fusion Soccer Academy,44735,3,1,2,0,3,1.0,2,7,-5
32,Sporting Blue Valley ECNL G06,Sporting Blue Valley,46619,3,1,2,0,3,1.0,5,11,-6
33,DKSC ECNL G06,No Club Selection,19628,3,1,2,0,3,1.0,2,9,-7
34,Real Colorado National ECNL G06,Real Colorado,45855,3,0,2,1,1,0.33,2,4,-2
35,GSA ECNL G06,Gwinnett Soccer Academy,20326,3,0,2,1,1,0.33,6,9,-3
36,Beach FC ECNL G06,Beach Futbol Club,46286,3,0,2,1,1,0.33,4,7,-3
37,Bethesda SC ECNL G06,Bethesda SC,20341,3,0,2,1,1,0.33,4,10,-6
38,VA Union ECNL G06,Fairfax Virginia Union,20314,3,0,2,1,1,0.33,1,10,-9
39,Michigan Hawks ECNL G06,Michigan Hawks,19884,3,0,3,0,0,0.0,3,7,-4
40,FC Stars Blue ECNL G06,FC Stars,19892,3,0,3,0,0,0.0,3,8,-5
41,Crossfire Premier ECNL G06,Crossfire Premier,13932,3,0,3,0,0,0.0,0,5,-5
42,Tampa Bay United ECNL G06,Tampa Bay United,20339,3,0,3,0,0,0.0,3,12,-9
43,CESA Liberty ECNL G06,Carolina Elite Soccer Academy,11339,3,0,3,0,0,0.0,0,9,-9
44,Indiana Fire ECNL G06,Indy Eleven Academy,20361,3,0,3,0,0,0.0,2,13,-11
