rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Slammers FC HB Koge ECNL G08,Slammers FC HB Koge,29720,3,3,0,0,9,3.0,15,1,14
2,San Diego Surf ECNL G08,San Diego Surf Soccer Club,45875,3,3,0,0,9,3.0,16,3,13
3,Penn Fusion SA ECNL G08,Penn Fusion Soccer Academy,44737,3,3,0,0,9,3.0,15,5,10
4,Real Colorado National ECNL G08,Real Colorado,45853,3,3,0,0,9,3.0,9,0,9
5,Sting Dallas Black ECNL G08,Sting Soccer Club,11429,3,3,0,0,9,3.0,10,2,8
6,So Cal Blues ECNL G08,So Cal Blues,29588,3,3,0,0,9,3.0,9,2,7
7,Beach FC ECNL G08,Beach Futbol Club,60045,3,3,0,0,9,3.0,8,1,7
8,Legends FC ECNL G08,Legends FC (CA),8362,3,3,0,0,9,3.0,5,0,5
9,Crossfire Premier ECNL G08,No Club Selection,21818,3,2,0,1,7,2.33,12,2,10
10,Michigan Hawks ECNL G08,Michigan Hawks,46771,3,2,0,1,7,2.33,9,2,7
11,FC Dallas ECNL G08,FC Dallas Youth,46900,3,2,0,1,7,2.33,5,2,3
12,NC Courage ECNL G08,NC Courage Academy,44728,3,2,1,0,6,2.0,8,3,5
13,Eclipse Select SC ECNL G08,Eclipse Select Soccer Club,46760,3,2,1,0,6,2.0,6,4,2
14,CESA Liberty ECNL G08,Carolina Elite Soccer Academy,27972,3,2,1,0,6,2.0,6,5,1
15,Solar SC ECNL G08,Solar SC,46791,3,2,1,0,6,2.0,4,3,1
16,De Anza Force ECNL G08,Force,45841,3,2,1,0,6,2.0,4,4,0
17,Sporting Blue Valley ECNL G08,Sporting Blue Valley,46617,3,2,1,0,6,2.0,7,8,-1
18,MVLA ECNL G08,MVLA,30872,3,2,1,0,6,2.0,4,5,-1
19,PDA Blue ECNL G08,PDA Blue (North),3701,3,1,0,2,5,1.67,3,2,1
20,SLSG Navy ECNL G08,St. Louis Scott Gallagher,46768,3,1,1,1,4,1.33,6,3,3
21,Kings Hammer SC ECNL G08, Kings Hammer Columbus,47017,3,1,1,1,4,1.33,5,5,0
22,Eagles SC ECNL G08,Eagles SC,6122,3,1,1,1,4,1.33,5,6,-1
23,Ohio Premier ECNL G08,Ohio Premier,46800,3,1,1,1,4,1.33,5,7,-2
24,Concorde Fire Premier ECNL G08,Concorde Fire ,46809,3,1,1,1,4,1.33,5,7,-2
25,Wilmington Hammerheads ECNL G08,Wilmington Hammerheads,46818,3,1,2,0,3,1.0,8,6,2
26,Bethesda SC ECNL G08,Bethesda SC,46815,3,1,2,0,3,1.0,5,7,-2
27,Kansas City Athletics ECNL G08,KC Athletics,19672,3,1,2,0,3,1.0,4,7,-3
28,Colorado Rapids ECNL G08,Colorado Storm,46752,3,1,2,0,3,1.0,3,6,-3
29,SUSA FC ECNL G08,SUSA FC,14509,3,1,2,0,3,1.0,4,9,-5
30,Richmond United ECNL G08,Richmond United,46822,3,0,2,1,1,0.33,4,6,-2
31,Sting Austin ECNL G08,Sting Austin,46779,3,0,2,1,1,0.33,4,6,-2
32,Arlington Soccer ECNL G08,Arlington Soccer Association,59916,3,0,2,1,1,0.33,5,8,-3
33,San Juan SC ECNL G08,No Club Selection,39174,3,0,2,1,1,0.33,5,8,-3
34,Tennessee Soccer Club ECNL G08,Tennessee SC,46804,3,0,2,1,1,0.33,1,4,-3
35,Connecticut FC ECNL G08,Connecticut FC,46829,3,0,2,1,1,0.33,4,8,-4
36,Loudoun Soccer ECNL G08,Northern Virginia Alliance,46824,3,0,2,1,1,0.33,1,6,-5
37,Real Colorado Athletico ECNL G08,Real Colorado,46443,3,0,2,1,1,0.33,3,9,-6
38,Eastside FC ECNL G08,Eastside FC (WA),46753,3,0,2,1,1,0.33,4,11,-7
39,Indiana Fire ECNL G08,Indy Eleven Academy,46796,3,0,2,1,1,0.33,3,10,-7
40,GSA ECNL G08,Gwinnett Soccer Academy,46812,3,0,2,1,1,0.33,0,9,-9
41,Concorde Fire Platinum ECNL G08,Concorde Fire ,46806,3,0,2,1,1,0.33,5,16,-11
42,FC Stars Blue ECNL G08,FC Stars,35278,3,0,3,0,0,0.0,2,7,-5
43,Alabama FC ECNL G08,Alabama FC,46807,3,0,3,0,0,0.0,2,10,-8
44,Tampa Bay United ECNL G08,Tampa Bay United,36328,3,0,3,0,0,0.0,3,16,-13
