rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Solar ECNL GU14,Solar SC,20122,22,21,0,1,64,2.91,108,11,97
2,FC Dallas ECNL GU14,FC Dallas Youth,46783,22,14,4,4,46,2.09,67,28,39
3,Sting Dallas Royal ECNL GU14,Sting Soccer Club,45801,22,11,4,7,40,1.82,56,19,37
4,DKSC ECNL GU14,No Club Selection,35219,21,12,7,2,38,1.81,52,28,24
5,Tulsa SC ECNL GU14,No Club Selection,35234,22,10,6,6,36,1.64,38,23,15
6,Challenge SC ECNL GU14,Challenge SC,35214,22,9,7,6,33,1.5,25,20,5
7,Sting Dallas Black ECNL GU14,Sting Soccer Club,12441,20,9,8,3,30,1.5,34,36,-2
8,Dallas Texans ECNL GU14,Dallas Texans,45790,22,8,10,4,28,1.27,36,36,0
9,AHFC ECNL GU14,Albion Hurricanes FC,35213,21,7,11,3,24,1.14,21,49,-28
10,Sting Austin ECNL GU14,Sting Austin,35232,22,8,14,0,24,1.09,19,50,-31
11,Oklahoma Celtic ECNL GU14,Oklahoma Celtic,34860,20,1,19,0,3,0.15,5,93,-88
12,Classics Elite ECNL GU14,Classics Elite Soccer Academy,35215,22,1,21,0,3,0.14,10,78,-68
