rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Solar ECNL GU15,Solar SC,11423,21,20,0,1,61,2.9,100,15,85
2,FC Dallas ECNL GU15,FC Dallas Youth,46784,22,16,1,5,53,2.41,62,18,44
3,Challenge SC ECNL GU15,Challenge SC,20382,20,11,5,4,37,1.85,35,21,14
4,Dallas Texans ECNL GU15,Dallas Texans,12268,22,11,9,2,35,1.59,39,26,13
5,Sting Dallas Black ECNL GU15,Sting Soccer Club,20412,21,10,8,3,33,1.57,30,24,6
6,AHFC ECNL GU15,Albion Hurricanes FC,20381,20,8,6,6,30,1.5,31,27,4
7,DKSC ECNL GU15,No Club Selection,19628,21,9,8,4,31,1.48,31,41,-10
8,Classics Elite  ECNL GU15,Classics Elite Soccer Academy,20383,21,8,12,1,25,1.19,38,53,-15
9,Tulsa SC ECNL GU15,No Club Selection,20413,22,5,13,4,19,0.86,25,42,-17
10,Sting Dallas Royal ECNL GU15,Sting Soccer Club,45802,21,3,15,3,12,0.57,19,54,-35
11,Sting Austin ECNL GU15,Sting Austin,20411,21,2,14,5,11,0.52,11,62,-51
12,Oklahoma Celtic ECNL GU15,Oklahoma Celtic,19420,20,1,13,6,9,0.45,24,62,-38
