rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Solar ECNL GU16,Solar SC,11427,22,17,3,2,53,2.41,64,12,52
2,DKSC ECNL GU16,No Club Selection,11872,21,14,1,6,48,2.29,50,14,36
3,FC Dallas ECNL GU16,FC Dallas Youth,46785,22,14,2,6,48,2.18,48,17,31
4,Classics Elite  ECNL GU16,Classics Elite Soccer Academy,12269,21,12,5,4,40,1.9,41,27,14
5,Sting Austin ECNL GU16,Sting Austin,11067,20,12,6,2,38,1.9,31,19,12
6,Tulsa SC ECNL GU16,Tulsa Soccer Club,11818,22,8,11,3,27,1.23,26,30,-4
7,Sting Dallas Black ECNL GU16,Sting Soccer Club,11890,21,7,10,4,25,1.19,24,25,-1
8,AHFC ECNL GU16,Albion Hurricanes FC,12271,21,7,11,3,24,1.14,23,36,-13
9,Dallas Texans ECNL GU16,Dallas Texans,11592,20,6,10,4,22,1.1,21,41,-20
10,Challenge SC ECNL GU16,Challenge SC,12270,22,5,15,2,17,0.77,19,42,-23
11,Oklahoma Celtic ECNL GU16,Oklahoma Celtic,19415,20,3,16,1,10,0.5,21,65,-44
12,Sting Dallas Royal ECNL GU16,Sting Soccer Club,46722,20,2,17,1,7,0.35,10,50,-40
