rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Sting Dallas Black ECNL GU13,Sting Soccer Club,11429,20,17,2,1,52,2.6,70,10,60
2,Solar ECNL GU13,Solar SC,46791,22,18,2,2,56,2.55,73,22,51
3,DKSC ECNL GU13,No Club Selection,45734,21,15,4,2,47,2.24,60,17,43
4,Sting Austin ECNL GU13,Sting Austin,46779,21,14,6,1,43,2.05,41,19,22
5,FC Dallas ECNL GU13,FC Dallas Youth,46900,21,9,8,4,31,1.48,30,22,8
6,AHFC ECNL GU13,Albion Hurricanes FC,39582,21,9,9,3,30,1.43,26,28,-2
7,Sting Dallas Royal ECNL GU13,Sting Soccer Club,22213,21,7,8,6,27,1.29,24,32,-8
8,Classics Elite ECNL GU13,Classics Elite Soccer Academy,29192,22,6,13,3,21,0.95,21,69,-48
9,Challenge SC ECNL GU13,Challenge SC,44419,21,6,13,2,20,0.95,27,34,-7
10,Oklahoma Celtic ECNL GU13,Oklahoma Celtic,44930,20,2,15,3,9,0.45,9,52,-43
11,Tulsa SC ECNL GU13,No Club Selection,44083,22,1,19,2,5,0.23,8,83,-75
