rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Solar ECNL GU17,Solar SC,11589,21,19,1,1,58,2.76,80,4,76
2,FC Dallas ECNL GU17,FC Dallas Youth,46786,21,19,1,1,58,2.76,80,11,69
3,DKSC ECNL GU17,No Club Selection,11588,22,17,3,2,53,2.41,80,17,63
4,AHFC ECNL GU17,Albion Hurricanes FC,11595,20,10,6,4,34,1.7,46,21,25
5,Sting Dallas Black ECNL GU17,Sting Soccer Club,11591,21,9,7,5,32,1.52,32,29,3
6,Challenge SC ECNL GU17,Challenge SC,11593,21,8,10,3,27,1.29,30,55,-25
7,Sting Austin ECNL GU17,Sting Austin,10998,21,7,9,5,26,1.24,22,38,-16
8,Tulsa SC ECNL GU17,Tulsa Soccer Club,11587,22,6,14,2,20,0.91,26,57,-31
9,Dallas Texans ECNL GU17,Dallas Texans,6888,22,4,13,5,17,0.77,17,40,-23
10,Classics Elite ECNL GU17,Classics Elite Soccer Academy,10895,21,3,12,6,15,0.71,19,50,-31
11,Sting Dallas Royal ECNL GU17,Sting Soccer Club,45803,20,3,15,2,11,0.55,23,74,-51
12,Oklahoma Celtic ECNL GU17,Oklahoma Celtic,19416,20,2,16,2,8,0.4,16,75,-59
