rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Cleveland Force SC ECNL G2012/13,Cleveland Force SC,71387,2,2,0,0,6,3.0,5,1,4
2,GTFC Impact ECNL G2012/13,GTFC Impact,108213,2,2,0,0,6,3.0,5,1,4
3,Ohio Elite SA ECNL G2012/13,Ohio Elite Soccer Academy,69457,2,1,0,1,4,2.0,5,3,2
4,Pittsburgh Riverhounds ECNL G2012/13,Pittsburgh Riverhounds,69760,2,1,0,1,4,2.0,5,3,2
5,Internationals SC ECNL G2012/2013,Internationals SC,69614,2,1,1,0,3,1.5,3,1,2
6,FC Alliance TN ECNL G2012/13,FC Alliance TN,134639,2,1,1,0,3,1.5,1,3,-2
7,Racing Louisville Academy ECNL G2012/13,LouCity / Racing Youth Academy,132998,2,0,1,1,1,0.5,3,5,-2
8,WNY Flash ECNL G2012/13,WNY Flash Academy,71192,2,0,1,1,1,0.5,3,5,-2
9,Ohio Premier ECNL G2012/13,Ohio Premier,80685,0,0,0,0,0,0.0,0,0,0
10,FC Pride Elite ECNL G2012/13,FC Pride,68813,1,0,1,0,0,0.0,1,3,-2
11,Indy Eleven ECNL G2012/13,Indy Eleven Academy,72343,1,0,1,0,0,0.0,0,2,-2
12,Tennessee SC ECNL G2012/13,Tennessee SC,133463,2,0,2,0,0,0.0,1,5,-4
