rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Michigan Hawks ECNL G2010/11,Michigan Hawks,134153,4,4,0,0,12,3.0,13,0,13
2,Nationals SC ECNL G2010/11,Nationals,94348,4,3,0,1,10,2.5,12,0,12
3,Eclipse Select Soccer Club ECNL G2010/11,Eclipse Select Soccer Club,136038,4,3,0,1,10,2.5,12,4,8
4,Gretna Elite Academy ECNL G2010/11,Gretna Elite Academy,131832,4,2,0,2,8,2.0,6,4,2
5,Kansas City Athletics ECNL G2010/11,KC Athletics,79772,3,2,1,0,6,2.0,5,5,0
6,Sporting Iowa ECNL G2010/11,Sporting Iowa Central,69510,5,3,2,0,9,1.8,13,10,3
7,Sporting Blue Valley ECNL G2010/11,Sporting Blue Valley,131582,4,2,1,1,7,1.75,11,6,5
8,St. Louis Scott Gallagher Navy ECNL G2010/11,St. Louis Scott Gallagher,134854,6,3,2,1,10,1.67,10,6,4
9,Chicago Inter ECNL G2010/11,Chicago Inter,127911,4,2,2,0,6,1.5,7,6,1
10,Liverpool FC MI ECNL G2010/11,Liverpool FC-IA Michigan,69697,5,2,3,0,6,1.2,3,6,-3
11,Missouri Rush ECNL G2010/11,Missouri Rush,114379,7,2,4,1,7,1.0,4,12,-8
12,FC Wisconsin ECNL G2010/11,FC Wisconsin Girls,71855,4,0,2,2,2,0.5,2,9,-7
13,St. Louis Scott Gallagher Green ECNL G2010/11,St. Louis Scott Gallagher,134855,6,1,5,0,3,0.5,2,16,-14
14,Rockford Raptors FC ECNL G2010/11,Rockford Raptors FC,134303,5,0,3,2,2,0.4,4,9,-5
15,Michigan Hawks Magic ECNL G2010/11,Michigan Hawks,134158,5,0,4,1,1,0.2,2,13,-11
16,MN Thunder Academy ECNL G2010/11,Minnesota Thunder Academy,134413,0,0,0,0,0,0.0,0,0,0
