rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Michigan Hawks ECNL G2011/12,Michigan Hawks,134166,3,3,0,0,9,3.0,13,0,13
2,Nationals SC ECNL G2011/12,Nationals,94349,3,3,0,0,9,3.0,7,0,7
3,Rockford Raptors FC ECNL G2011/12,Rockford Raptors FC,134302,4,3,1,0,9,2.25,9,4,5
4,St. Louis Scott Gallagher Navy ECNL G2011/12,St. Louis Scott Gallagher,134850,5,3,1,1,10,2.0,4,3,1
5,Eclipse Select Soccer Club ECNL G2011/12,Eclipse Select Soccer Club,136037,3,2,1,0,6,2.0,6,3,3
6,Gretna Elite Academy ECNL G2011/12,Gretna Elite Academy,131831,4,2,1,1,7,1.75,8,2,6
7,St. Louis Scott Gallagher Green ECNL G2011/12,St. Louis Scott Gallagher,134851,5,2,2,1,7,1.4,6,8,-2
8,Sporting Iowa ECNL G2011/12,Sporting Iowa Central,79780,4,1,1,2,5,1.25,2,3,-1
9,Missouri Rush ECNL G2011/12,Missouri Rush,114380,6,2,3,1,7,1.17,3,7,-4
10,Kansas City Athletics ECNL G2011/12,KC Athletics,95580,3,1,2,0,3,1.0,5,4,1
11,Michigan Hawks Magic ECNL G2011/12,Michigan Hawks,134170,4,0,1,3,3,0.75,2,8,-6
12,Liverpool FC MI ECNL G2011/12,Liverpool FC-IA Michigan,94483,5,0,2,3,3,0.6,6,11,-5
13,Sporting Blue Valley ECNL G2011/12,Sporting Blue Valley,131581,4,0,2,2,2,0.5,1,5,-4
14,FC Wisconsin ECNL G2011/12,FC Wisconsin Girls,79684,3,0,2,1,1,0.33,0,6,-6
15,Chicago Inter ECNL G2011/12,Chicago Inter,127991,4,0,3,1,1,0.25,1,9,-8
16,MN Thunder Academy ECNL G2011/12,Minnesota Thunder Academy,134412,0,0,0,0,0,0.0,0,0,0
