rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,St. Louis Scott Gallagher Navy ECNL G2009/10,St. Louis Scott Gallagher,134858,6,6,0,0,18,3.0,24,2,22
2,Michigan Hawks ECNL G2009/10,Michigan Hawks,134136,4,4,0,0,12,3.0,17,4,13
3,Gretna Elite Academy ECNL G2009/10,Gretna Elite Academy,131833,5,4,0,1,13,2.6,18,2,16
4,Michigan Hawks Magic ECNL G2009/10,Michigan Hawks,134142,5,3,1,1,10,2.0,18,12,6
5,St. Louis Scott Gallagher Green ECNL G2009/10,St. Louis Scott Gallagher,134861,6,4,2,0,12,2.0,8,7,1
6,Chicago Inter ECNL G2009/10,Chicago Inter,127910,5,3,1,1,10,2.0,13,14,-1
7,Nationals SC ECNL G2009/10,Nationals,94342,4,2,1,1,7,1.75,6,3,3
8,Sporting Iowa ECNL G2009/10,Sporting Iowa Central,59750,5,2,2,1,7,1.4,4,8,-4
9,Missouri Rush ECNL G2009/10,Missouri Rush,114378,7,2,4,1,7,1.0,13,16,-3
10,Rockford Raptors FC ECNL G2009/10,Rockford Raptors FC,134305,5,1,3,1,4,0.8,9,12,-3
11,Kansas City Athletics ECNL G2009/10,KC Athletics,46766,4,1,3,0,3,0.75,5,7,-2
12,Eclipse Select Soccer Club ECNL G2009/10,Eclipse Select Soccer Club,136039,4,1,3,0,3,0.75,6,6,0
13,Sporting Blue Valley ECNL G2009/10,Sporting Blue Valley,131583,4,0,3,1,1,0.25,4,14,-10
14,MN Thunder Academy ECNL G2009/10,Minnesota Thunder Academy,134414,0,0,0,0,0,0.0,0,0,0
15,FC Wisconsin ECNL G2009/10,FC Wisconsin Girls,68013,4,0,4,0,0,0.0,1,8,-7
16,Liverpool FC MI ECNL G2009/10,Liverpool FC-IA Michigan,69186,6,0,6,0,0,0.0,3,34,-31
