rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Select ECNL G2012/13,Select,134371,1,1,0,0,3,3.0,6,0,6
2,FC Stars Blue ECNL G2012/13,FC Stars,70655,1,1,0,0,3,3.0,3,0,3
3,Scorpions SC ECNL G2012/13,Scorpions SC,94742,1,1,0,0,3,3.0,2,0,2
4,World Class FC ECNL G2012/13,World Class FC,64207,1,1,0,0,3,3.0,1,0,1
5,Connecticut FC United ECNL G2012/13,Connecticut FC,114091,0,0,0,0,0,0.0,0,0,0
6,East Meadow Soccer Club ECNL G2012/13,East Meadow Soccer Club,134816,0,0,0,0,0,0.0,0,0,0
7,SUSA FC ECNL G2012/13,SUSA FC,95340,1,0,1,0,0,0.0,0,1,-1
8,FSA FC ECNL G2012/13,FSA FC,82176,1,0,1,0,0,0.0,0,3,-3
9,FC Stars White ECNL G2012/13,FC Stars,81913,2,0,2,0,0,0.0,0,8,-8
