rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Penn Fusion SA ECNL G08,Penn Fusion Soccer Academy,44737,3,3,0,0,9,3.0,13,4,9
2,Slammers FC HB Koge ECNL G08,Slammers FC HB Koge,29720,3,3,0,0,9,3.0,12,3,9
3,Real Colorado National ECNL G08,Real Colorado,45853,3,3,0,0,9,3.0,7,0,7
4,FC Stars Blue ECNL G08,FC Stars,35278,3,3,0,0,9,3.0,6,1,5
5,Michigan Hawks ECNL G08,Michigan Hawks,46771,3,2,0,1,7,2.33,12,2,10
6,Solar SC ECNL G08,Solar SC,46791,3,2,0,1,7,2.33,11,3,8
7,So Cal Blues ECNL G08,So Cal Blues,29588,3,2,0,1,7,2.33,10,2,8
8,MVLA ECNL G08,MVLA,30872,3,2,0,1,7,2.33,10,4,6
9,De Anza Force ECNL G08,Force,45841,3,2,0,1,7,2.33,8,2,6
10,PDA Blue ECNL G08,PDA Blue (North),3701,3,2,1,0,6,2.0,8,2,6
11,San Diego Surf ECNL G08,San Diego Surf Soccer Club,45875,3,2,1,0,6,2.0,8,3,5
12,Sporting Blue Valley ECNL G08,Sporting Blue Valley,46617,3,2,1,0,6,2.0,7,2,5
13,XF Academy ECNL G08,No Club Selection,21818,3,2,1,0,6,2.0,6,1,5
14,San Juan SC ECNL G08,No Club Selection,39174,3,2,1,0,6,2.0,9,6,3
15,NVA ECNL G08,Northern Virginia Alliance,46824,3,2,1,0,6,2.0,9,7,2
16,Beach FC (CA) ECNL G08,Beach Futbol Club,60045,3,2,1,0,6,2.0,7,5,2
17,Ohio Premier ECNL G08,Ohio Premier,46800,3,2,1,0,6,2.0,7,5,2
18,NC Courage ECNL G08,NC Courage Academy,44728,3,2,1,0,6,2.0,7,6,1
19,SLSG Navy ECNL G08,St. Louis Scott Gallagher,46768,3,2,1,0,6,2.0,7,6,1
20,Ohio Elite Soccer Academy ECNL G08,Ohio Elite Soccer Academy,46798,3,2,1,0,6,2.0,5,4,1
21,Sting Dallas Black ECNL G08,Sting Soccer Club,11429,3,1,0,2,5,1.67,7,2,5
22,Legends FC ECNL G08,Legends FC (CA),8362,3,1,1,1,4,1.33,6,3,3
23,World Class FC ECNL G08,World Class FC,36640,3,1,1,1,4,1.33,4,4,0
24,Eagles SC ECNL G08,Eagles SC,6122,3,1,1,1,4,1.33,6,7,-1
25,DKSC ECNL G08,No Club Selection,45734,3,1,1,1,4,1.33,4,7,-3
26,FC Alliance ECNL G08,FC Alliance TN,46371,3,1,2,0,3,1.0,5,7,-2
27,Wilmington Hammerheads ECNL G08,Wilmington Hammerheads,46818,3,1,2,0,3,1.0,3,5,-2
28,VDA ECNL G08,Virginia Development Academy,46823,3,1,2,0,3,1.0,1,3,-2
29,Sting Austin ECNL G08,Sting Austin,46779,3,1,2,0,3,1.0,3,6,-3
30,FC Dallas ECNL G08,FC Dallas Youth,46900,3,1,2,0,3,1.0,3,6,-3
31,Concorde Fire Platinum ECNL G08,Concorde Fire ,46806,3,1,2,0,3,1.0,1,4,-3
32,Connecticut FC ECNL G08,Connecticut FC,46829,3,1,2,0,3,1.0,1,7,-6
33,Fairfax BRAVE SC ECNL G08,Fairfax Virginia Union,11956,3,1,2,0,3,1.0,4,11,-7
34,Eclipse Select SC ECNL G08,Eclipse Select Soccer Club,46760,3,0,1,2,2,0.67,9,11,-2
35,Minnesota Thunder ECNL G08,Minnesota Thunder Academy,46774,3,0,2,1,1,0.33,2,4,-2
36,GSA ECNL G08,Gwinnett Soccer Academy,46812,3,0,2,1,1,0.33,1,6,-5
37,FC DELCO ECNL G08,FC DELCO,36383,3,0,2,1,1,0.33,0,5,-5
38,Eastside FC ECNL G08,Eastside FC (WA),46753,3,0,2,1,1,0.33,1,10,-9
39,Internationals SC ECNL G08,Internationals SC,46797,3,0,2,1,1,0.33,5,15,-10
40,Washington Premier ECNL G08,Washington Premier FC,39098,3,0,3,0,0,0.0,1,5,-4
41,Alabama FC ECNL G08,Alabama FC,46807,3,0,3,0,0,0.0,4,12,-8
42,Tampa Bay United ECNL G08,Tampa Bay United,36328,3,0,3,0,0,0.0,3,12,-9
43,Concorde Fire Premier ECNL G08,Concorde Fire ,46809,3,0,3,0,0,0.0,2,11,-9
44,Atlanta Fire United ECNL G08,Atlanta Fire United,43088,3,0,3,0,0,0.0,1,15,-14
