rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Solar SC ECNL G07,Solar SC,20122,3,3,0,0,9,3.0,12,2,10
2,PDA Blue ECNL G07,PDA Blue (North),1967,3,3,0,0,9,3.0,12,2,10
3,Slammers FC HB Koge ECNL G07,Slammers FC HB Koge,8995,3,3,0,0,9,3.0,9,2,7
4,Legends FC ECNL G07,Legends FC (CA),28540,3,3,0,0,9,3.0,8,2,6
5,Beach FC (CA) ECNL G07,Beach Futbol Club,46284,3,2,0,1,7,2.33,13,3,10
6,FC Dallas ECNL G07,FC Dallas Youth,46783,3,2,0,1,7,2.33,10,2,8
7,Michigan Hawks  ECNL G07,Michigan Hawks,35251,3,2,0,1,7,2.33,9,2,7
8,San Juan SC ECNL G07,San Juan Soccer Club,35173,3,2,0,1,7,2.33,8,3,5
9,MVLA ECNL G07,MVLA,35169,3,2,0,1,7,2.33,6,2,4
10,Kansas City Athletics ECNL G07,KC Athletics,19372,3,2,0,1,7,2.33,6,3,3
11,Penn Fusion SA ECNL G07,No Club Selection,44736,3,2,0,1,7,2.33,6,3,3
12,Bay Area Surf ECNL G07,Bay Area Surf,65152,3,2,0,1,7,2.33,6,3,3
13,Internationals SC ECNL G07,Internationals SC,35240,3,2,0,1,7,2.33,6,3,3
14,Indy Eleven Pro Academy ECNL G07,Indy Eleven Academy,23407,3,2,0,1,7,2.33,7,5,2
15,NC Courage ECNL G07,NC Courage Academy,44729,3,2,0,1,7,2.33,7,5,2
16,XF Academy ECNL G07,No Club Selection,26840,3,2,1,0,6,2.0,7,2,5
17,NVA ECNL G07,Northern Virginia Alliance,35287,3,2,1,0,6,2.0,8,4,4
18,SLSG Navy ECNL G07,St. Louis Scott Gallagher,34464,3,2,1,0,6,2.0,4,3,1
19,La Roca FC ECNL G07,La Roca FC,45849,3,2,1,0,6,2.0,7,8,-1
20,FC Stars Blue ECNL G07,FC Stars,19883,3,1,0,2,5,1.67,6,5,1
21,Jacksonville FC ECNL G07,No Club Selection,35265,3,1,1,1,4,1.33,8,6,2
22,Gretna Elite Academy ECNL G07,No Club Selection,35249,3,1,1,1,4,1.33,3,4,-1
23,Atlanta Fire United ECNL G07,Atlanta Fire United,34662,3,1,1,1,4,1.33,2,4,-2
24,Cleveland Force SC ECNL G07,Cleveland Force SC,46989,3,1,2,0,3,1.0,10,8,2
25,San Diego Surf ECNL G07,San Diego Surf Soccer Club,45876,3,1,2,0,3,1.0,5,5,0
26,Tennessee Soccer Club ECNL G07,Tennessee SC,35277,3,1,2,0,3,1.0,6,7,-1
27,FL Premier FC ECNL G07,Florida Premier FC,69290,3,1,2,0,3,1.0,3,4,-1
28,Real Colorado National ECNL G07,Real Colorado,45854,3,1,2,0,3,1.0,4,6,-2
29,Connecticut FC ECNL G07,Connecticut FC,24089,3,1,2,0,3,1.0,4,6,-2
30,Match Fit Academy ECNL G07,Match Fit Surf,34504,3,1,2,0,3,1.0,3,8,-5
31,World Class FC ECNL G07,World Class FC,35284,3,1,2,0,3,1.0,1,6,-5
32,Seattle United  ECNL G07,Seattle United,35177,3,0,1,2,2,0.67,4,5,-1
33,Charlotte SA ECNL G07,Charlotte Soccer Academy,44722,3,0,1,2,2,0.67,1,2,-1
34,VA Union ECNL G07,Fairfax Virginia Union,25892,3,0,2,1,1,0.33,3,6,-3
35,Sting Dallas Black ECNL G07,Sting Soccer Club,12441,3,0,2,1,1,0.33,2,6,-4
36,GSA ECNL G07,Gwinnett Soccer Academy,33371,3,0,2,1,1,0.33,1,5,-4
37,Minnesota Thunder ECNL G07,No Club Selection,35253,3,0,2,1,1,0.33,1,11,-10
38,Tulsa SC ECNL G07,No Club Selection,35234,3,0,3,0,0,0.0,3,7,-4
39,SLAMMERS FC ECNL G07,Slammers FC,18022,3,0,3,0,0,0.0,3,9,-6
40,Rebels SC ECNL G07,Rebels Soccer Club,9867,3,0,3,0,0,0.0,1,7,-6
41,United Futbol Academy ECNL G07,United Futbol Academy,45835,3,0,3,0,0,0.0,4,12,-8
42,Concorde Fire Platinum ECNL G07,Concorde Fire ,35256,3,0,3,0,0,0.0,3,11,-8
43,OK Energy FC ECNL G07,Oklahoma Energy FC,59504,3,0,3,0,0,0.0,0,10,-10
44,NC Fusion ECNL G07,NC Fusion,35269,3,0,3,0,0,0.0,2,15,-13
