rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Solar SC ECNL G07,Solar SC,20122,3,3,0,0,9,3.0,12,2,10,G2007,Champions League
2,PDA Blue ECNL G07,PDA Blue (North),1967,3,3,0,0,9,3.0,12,2,10,G2007,Champions League
3,Slammers FC HB Koge ECNL G07,Slammers FC HB Koge,8995,3,3,0,0,9,3.0,9,2,7,G2007,Champions League
4,Legends FC ECNL G07,Legends FC (CA),28540,3,3,0,0,9,3.0,8,2,6,G2007,Champions League
5,Beach FC (CA) ECNL G07,Beach Futbol Club,46284,3,2,0,1,7,2.33,13,3,10,G2007,Champions League
6,FC Dallas ECNL G07,FC Dallas Youth,46783,3,2,0,1,7,2.33,10,2,8,G2007,Champions League
7,Michigan Hawks  ECNL G07,Michigan Hawks,35251,3,2,0,1,7,2.33,9,2,7,G2007,Champions League
8,San Juan SC ECNL G07,San Juan Soccer Club,35173,3,2,0,1,7,2.33,8,3,5,G2007,Champions League
9,MVLA ECNL G07,MVLA,35169,3,2,0,1,7,2.33,6,2,4,G2007,Champions League
10,Kansas City Athletics ECNL G07,KC Athletics,19372,3,2,0,1,7,2.33,6,3,3,G2007,Champions League
11,Penn Fusion SA ECNL G07,No Club Selection,44736,3,2,0,1,7,2.33,6,3,3,G2007,Champions League
12,Bay Area Surf ECNL G07,Bay Area Surf,65152,3,2,0,1,7,2.33,6,3,3,G2007,Champions League
13,Internationals SC ECNL G07,Internationals SC,35240,3,2,0,1,7,2.33,6,3,3,G2007,Champions League
14,Indy Eleven Pro Academy ECNL G07,Indy Eleven Academy,23407,3,2,0,1,7,2.33,7,5,2,G2007,Champions League
15,NC Courage ECNL G07,NC Courage Academy,44729,3,2,0,1,7,2.33,7,5,2,G2007,Champions League
16,XF Academy ECNL G07,No Club Selection,26840,3,2,1,0,6,2.0,7,2,5,G2007,Champions League
17,NVA ECNL G07,Northern Virginia Alliance,35287,3,2,1,0,6,2.0,8,4,4,G2007,Champions League
18,SLSG Navy ECNL G07,St. Louis Scott Gallagher,34464,3,2,1,0,6,2.0,4,3,1,G2007,Champions League
19,La Roca FC ECNL G07,La Roca FC,45849,3,2,1,0,6,2.0,7,8,-1,G2007,Champions League
20,FC Stars Blue ECNL G07,FC Stars,19883,3,1,0,2,5,1.67,6,5,1,G2007,Champions League
21,Jacksonville FC ECNL G07,No Club Selection,35265,3,1,1,1,4,1.33,8,6,2,G2007,Champions League
22,Gretna Elite Academy ECNL G07,No Club Selection,35249,3,1,1,1,4,1.33,3,4,-1,G2007,Champions League
23,Atlanta Fire United ECNL G07,Atlanta Fire United,34662,3,1,1,1,4,1.33,2,4,-2,G2007,Champions League
