rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Pleasanton RAGE ECNL G2010/11,Pleasanton Rage,44313,5,5,0,0,15,3.0,12,5,7
2,Mustang SC ECNL G2010/11,Mustang Soccer,31529,6,5,0,1,16,2.67,13,3,10
3,MVLA ECNL G2010/11,MVLA,55477,6,4,1,1,13,2.17,13,3,10
4,Davis Legacy ECNL G2010/11,Davis Legacy Soccer Club,81189,6,3,1,2,11,1.83,19,6,13
5,Force (CA) ECNL G2010/11,Force,62271,6,3,2,1,10,1.67,10,9,1
6,San Juan SC ECNL G2010/11,San Juan Soccer Club,77003,6,2,2,2,8,1.33,8,7,1
7,Marin FC ECNL G2010/11,Marin FC,82192,6,2,3,1,7,1.17,9,9,0
8,Bay Area Surf - ECNL G2010/11,Bay Area Surf,74987,4,1,2,1,4,1.0,5,3,2
9,Placer United ECNL G2010/11,Placer United Soccer Club,81251,6,1,3,2,5,0.83,5,8,-3
10,Stanislaus Surf - ECNL G2010/11,Stanislaus Surf Soccer Club,82857,5,1,3,1,4,0.8,3,7,-4
11,Santa Rosa United ECNL G2010/11,Santa Rosa United Soccer,132204,6,1,5,0,3,0.5,5,21,-16
12,COSC ECNL G2010/11,California Odyssey Soccer Club,88375,6,0,6,0,0,0.0,5,26,-21
