rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,San Juan SC ECNL G2013/14,San Juan Soccer Club,111781,6,5,0,1,16,2.67,29,2,27
2,Mustang SC ECNL G2013/14,Mustang Soccer,103790,6,5,1,0,15,2.5,14,6,8
3,Davis Legacy ECNL G2013/14,Davis Legacy Soccer Club,126188,6,4,1,1,13,2.17,14,4,10
4,MVLA ECNL G2013/14,MVLA,97182,5,3,1,1,10,2.0,13,5,8
5,Bay Area Surf - ECNL G2013/14,Bay Area Surf,135939,5,3,2,0,9,1.8,9,7,2
6,Placer United ECNL G2013/14,Placer United Soccer Club,106267,6,3,2,1,10,1.67,8,4,4
7,Marin FC ECNL G2013/14,Marin FC,114298,6,2,2,2,8,1.33,8,8,0
8,Santa Rosa United ECNL G2013/14,Santa Rosa United Soccer,132201,6,2,4,0,6,1.0,6,18,-12
9,Pleasanton RAGE ECNL G2013/14,Pleasanton Rage,55311,5,1,3,1,4,0.8,7,16,-9
10,COSC ECNL G2013/14,California Odyssey Soccer Club,116964,5,1,4,0,3,0.6,4,13,-9
11,Force (CA) ECNL G2013/14,Force,112400,4,0,3,1,1,0.25,2,11,-9
12,Stanislaus Surf - ECNL G2013/14,Stanislaus Surf Soccer Club,82861,6,0,6,0,0,0.0,2,22,-20
