rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Bay Area Surf - ECNL G2008/09,Bay Area Surf,69035,4,4,0,0,12,3.0,11,3,8
2,MVLA ECNL G2008/09,MVLA,33438,4,3,0,1,10,2.5,9,2,7
3,Force (CA) ECNL G2008/09,Force,45841,6,4,0,2,14,2.33,21,4,17
4,San Juan SC ECNL G2008/09,San Juan Soccer Club,31488,6,4,1,1,13,2.17,27,6,21
5,Davis Legacy ECNL G2008/09,Davis Legacy Soccer Club,60301,6,4,1,1,13,2.17,20,5,15
6,Marin FC ECNL G2008/09,Marin FC,56277,5,2,3,0,6,1.2,8,13,-5
7,Placer United ECNL G2008/09,Placer United Soccer Club,68831,6,2,3,1,7,1.17,7,10,-3
8,Pleasanton RAGE ECNL G2008/09,Pleasanton Rage,39256,3,1,2,0,3,1.0,5,5,0
9,COSC ECNL G2008/09,California Odyssey Soccer Club,95560,5,1,3,1,4,0.8,6,18,-12
10,Stanislaus Surf - ECNL G2008/09,Stanislaus Surf Soccer Club,62306,5,1,3,1,4,0.8,4,18,-14
11,Mustang SC ECNL G2008/09,Mustang Soccer,31328,5,0,5,0,0,0.0,1,11,-10
12,Santa Rosa United ECNL G2008/09,Santa Rosa United Soccer,132206,5,0,5,0,0,0.0,3,27,-24
