rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Richmond United ECNL GU17,Richmond United,7536,8,7,0,1,22,2.75,18,1,17
2,NC Courage ECNL GU17,NC Courage Academy,44732,14,12,2,0,36,2.57,40,15,25
3,Charlotte SA ECNL GU17,Charlotte Soccer Academy,44725,14,11,3,0,33,2.36,49,15,34
4,Charlotte Independence ECNL GU17,Charlotte Independence SC,10705,14,10,4,0,30,2.14,30,16,14
5,McLean YSA ECNL GU17,McLean Youth Soccer,11504,8,4,3,1,13,1.63,18,10,8
6,VDA ECNL GU17,Virginia Development Academy,14649,8,4,3,1,13,1.63,15,12,3
7,CESA ECNL GU17,Carolina Elite Soccer Academy,11512,14,7,7,0,21,1.5,27,25,2
8,NC Fusion ECNL GU17,NC Fusion,11509,14,6,7,1,19,1.36,24,29,-5
9,Loudoun Soccer ECNL GU17,Loudoun Soccer,19777,8,3,4,1,10,1.25,9,7,2
10,South Carolina United ECNL GU17,South Carolina United FC,10988,14,3,8,3,12,0.86,18,27,-9
11,NCFC Youth ECNL GU17,NCFC Youth,7645,14,3,10,1,10,0.71,14,42,-28
12,Wilmington Hammerheads ECNL GU17,Wilmington Hammerheads,19667,14,1,12,1,4,0.29,7,40,-33
13,BRYC Elite Academy ECNL GU17,McLean Youth Soccer,10699,8,0,8,0,0,0.0,0,30,-30
