rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
6,VDA ECNL GU17,Virginia Development Academy,14649,8,4,3,1,13,1.63,15,12,3,GU17,ECNL
7,CESA ECNL GU17,Carolina Elite Soccer Academy,11512,14,7,7,0,21,1.5,27,25,2,GU17,ECNL
8,NC Fusion ECNL GU17,NC Fusion,11509,14,6,7,1,19,1.36,24,29,-5,GU17,ECNL
9,Loudoun Soccer ECNL GU17,Loudoun Soccer,19777,8,3,4,1,10,1.25,9,7,2,GU17,ECNL
10,South Carolina United ECNL GU17,South Carolina United FC,10988,14,3,8,3,12,0.86,18,27,-9,GU17,ECNL
11,NCFC Youth ECNL GU17,NCFC Youth,7645,14,3,10,1,10,0.71,14,42,-28,GU17,ECNL
12,Wilmington Hammerheads ECNL GU17,Wilmington Hammerheads,19667,14,1,12,1,4,0.29,7,40,-33,GU17,ECNL
13,BRYC Elite Academy ECNL GU17,McLean Youth Soccer,10699,8,0,8,0,0,0.0,0,30,-30,GU17,ECNL
1,McLean YSA ECNL GU18/U19,McLean Youth Soccer,6902,8,7,0,1,22,2.75,25,6,19,GU18/U19,ECNL
2,Charlotte SA ECNL GU18/U19,Charlotte Soccer Academy,44726,14,12,2,0,36,2.57,46,15,31,GU18/U19,ECNL
3,NC Fusion ECNL GU18/U19,NC Fusion,6909,14,10,3,1,31,2.21,35,22,13,GU18/U19,ECNL
4,NC Courage ECNL GU18/U19,NC Courage Academy,44733,14,10,3,1,31,2.21,31,15,16,GU18/U19,ECNL
5,BRYC Elite Academy ECNL GU18/U19,Braddock Road Youth Club,1517,8,5,2,1,16,2.0,20,12,8,GU18/U19,ECNL
6,Wilmington Hammerheads ECNL GU18/U19,Wilmington Hammerheads,19669,14,9,5,0,27,1.93,26,22,4,GU18/U19,ECNL
7,Richmond United ECNL GU18/U19,Richmond United,6919,8,2,2,4,10,1.25,10,9,1,GU18/U19,ECNL
8,VDA ECNL GU18/U19,Virginia Development Academy,14003,8,2,5,1,7,0.88,12,17,-5,GU18/U19,ECNL
9,Charlotte Independence ECNL GU18/U19,Charlotte Independence SC,10706,14,4,10,0,12,0.86,14,26,-12,GU18/U19,ECNL
10,CESA ECNL GU18/U19,Carolina Elite Soccer Academy,6918,14,3,9,2,11,0.79,13,19,-6,GU18/U19,ECNL
11,South Carolina United ECNL GU18/U19,South Carolina United FC,10992,14,3,9,2,11,0.79,10,32,-22,GU18/U19,ECNL
12,NCFC Youth ECNL GU18/U19,NCFC Youth,6876,14,1,11,2,5,0.36,6,30,-24,GU18/U19,ECNL
13,Loudoun Soccer ECNL GU18/U19,Loudoun Soccer,19778,8,0,7,1,1,0.13,6,29,-23,GU18/U19,ECNL
