rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Richmond United ECNL GU16,Richmond United,11507,8,8,0,0,24,3.0,27,7,20
2,NC Courage ECNL GU16,NC Courage Academy,44731,14,12,1,1,37,2.64,48,19,29
3,Charlotte SA ECNL GU16,Charlotte Soccer Academy,44724,14,8,4,2,26,1.86,29,15,14
4,McLean YSA ECNL GU16,McLean Youth Soccer,11505,8,4,3,1,13,1.63,19,11,8
5,Wilmington Hammerheads ECNL GU16,Wilmington Hammerheads,19666,14,6,5,3,21,1.5,27,25,2
6,NCFC Youth ECNL GU16,NCFC Youth,11511,14,5,4,5,20,1.43,20,20,0
7,South Carolina United ECNL GU16,South Carolina United FC,11040,14,5,5,4,19,1.36,17,21,-4
8,CESA ECNL GU16,Carolina Elite Soccer Academy,11339,14,5,8,1,16,1.14,17,28,-11
9,NC Fusion ECNL GU16,NC Fusion,13554,14,4,6,4,16,1.14,14,23,-9
10,Loudoun Soccer ECNL GU16,Loudoun Soccer,19776,8,2,3,3,9,1.13,15,19,-4
11,VDA ECNL GU16,Virginia Development Academy,20319,8,2,4,2,8,1.0,10,16,-6
12,BRYC Elite Academy ECNL GU16,McLean Youth Soccer,11501,8,0,6,2,2,0.25,6,24,-18
13,Charlotte Independence ECNL GU16,Charlotte Independence SC,11116,14,0,12,2,2,0.14,10,31,-21
