rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,VDA ECNL GU15,Virginia Development Academy,19656,8,7,0,1,22,2.75,18,7,11
2,CESA ECNL GU15,Carolina Elite Soccer Academy,20311,14,12,0,2,38,2.71,37,11,26
3,Charlotte SA ECNL GU15,Charlotte Soccer Academy,44723,14,9,2,3,30,2.14,34,10,24
4,NC Fusion ECNL GU15,NC Fusion,20316,14,6,4,4,22,1.57,28,28,0
5,McLean YSA ECNL GU15,Fairfax Virginia Union,20314,8,3,2,3,12,1.5,13,12,1
6,Richmond United ECNL GU15,Richmond United,20317,8,3,2,3,12,1.5,15,8,7
7,NC Courage ECNL GU15,NC Courage Academy,44730,14,5,5,4,19,1.36,24,19,5
8,South Carolina United ECNL GU15,South Carolina United FC,20318,14,5,7,2,17,1.21,25,25,0
9,Charlotte Independence ECNL GU15,Charlotte Independence SC,20312,14,3,7,4,13,0.93,14,27,-13
10,NCFC Youth ECNL GU15,NCFC Youth,20315,14,4,10,0,12,0.86,16,34,-18
11,BRYC Elite Academy ECNL GU15,Fairfax Virginia Union,13009,8,1,5,2,5,0.63,10,16,-6
12,Wilmington Hammerheads ECNL GU15,No Club Selection,19665,14,2,11,1,7,0.5,13,37,-24
13,Loudoun Soccer ECNL GU15,Northern Virginia Alliance,19775,8,1,6,1,4,0.5,10,23,-13
