rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,SLSG Navy ECNL GU14,St. Louis Scott Gallagher,34464,13,11,1,1,34,2.62,37,6,31
2,Minnesota Thunder ECNL GU14,No Club Selection,35253,13,9,2,2,29,2.23,26,7,19
3,SLSG White ECNL GU14,St. Louis Scott Gallagher,35254,14,6,5,3,21,1.5,22,19,3
4,Gretna Elite Academy ECNL GU14,No Club Selection,35249,14,6,6,2,20,1.43,19,21,-2
5,Kansas City Athletics ECNL GU14,KC Athletics,33175,14,5,4,5,20,1.43,23,13,10
