rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Minnesota Thunder ECNL GU15,No Club Selection,20378,6,5,0,1,16,2.67,23,5,18
2,SLSG Navy ECNL GU15,St. Louis Scott Gallagher,20075,8,5,0,3,18,2.25,33,3,30
3,Kansas City Athletics ECNL GU15,KC Athletics,19672,9,6,2,1,19,2.11,23,9,14
4,Michigan Hawks ECNL GU15,Michigan Hawks,19884,10,5,0,5,20,2.0,23,8,15
5,SLSG White ECNL GU15,St. Louis Scott Gallagher,20379,9,5,2,2,17,1.89,24,8,16
6,Eclipse Select SC ECNL GU15,Eclipse Select Soccer Club,20375,9,4,3,2,14,1.56,11,17,-6
7,Eclipse Select SC North ECNL GU15,Eclipse Select Soccer Club,20099,7,3,3,1,10,1.43,10,6,4
8,FC Wisconsin ECNL GU15,FC Wisconsin Girls,20376,7,1,3,3,6,0.86,5,21,-16
9,Gretna Elite Academy ECNL GU15,Gretna Elite Academy,11467,9,2,7,0,6,0.67,12,25,-13
10,Michigan Hawks Magic ECNL GU15,Michigan Hawks,20377,10,0,8,2,2,0.2,4,22,-18
11,Vardar ECNL GU15,Vardar,12525,10,0,8,2,2,0.2,3,47,-44
