date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2020-11-04,07:30 PM,Bracket,FC Wisconsin ECNL GU18/U19,0,5,Eclipse Select SC ECNL GU18/U19,FC Wisconsin Soccer Park,Field 2 - Hegarty Field,On Time,172239
2020-11-07,10:00 AM,Bracket,Eclipse Select SC ECNL GU18/U19,2,1,Michigan Hawks ECNL GU18/U19,Jr Irish Fields,Field 2,On Time,172249
2020-11-08,11:00 AM,Bracket,Gretna Elite Academy ECNL GU18/U19,0,1,Minnesota Thunder ECNL GU18/U19,Papillion Landing ,#1 Turf,On Time,172251
2020-11-22,02:45 PM,Bracket,SLSG Navy ECNL GU18/U19,5,0,SLSG White ECNL GU18/U19,WWT Soccer Park,Field 1,On Time,172253
2021-01-16,01:30 PM,Bracket,Minnesota Thunder ECNL GU18/U19,,,Eclipse Select SC North ECNL GU18/U19,Academy of Holy Angels,South Turf 1 (11v11),On Time,172262
2021-01-30,02:00 PM,Bracket,Minnesota Thunder ECNL GU18/U19,2,2,Kansas City Athletics ECNL GU18/U19,Academy of Holy Angels,South Turf 1 (11v11),On Time,172264
2021-02-20,02:30 PM,Bracket,SLSG Navy ECNL GU18/U19,,,Minnesota Thunder ECNL GU18/U19,MO RUSH Sports Park,Field 3,On Time,172255
2021-02-21,12:30 PM,Bracket,Minnesota Thunder ECNL GU18/U19,,,SLSG White ECNL GU18/U19,Missouri Rush Sports Park ,Field 4,On Time,172260
2021-02-27,02:15 PM,Bracket,Vardar ECNL GU18/U19,2,0,Minnesota Thunder ECNL GU18/U19,Evolution Sportsplex Dome,Field 1,On Time,172265
2021-02-27,03:00 PM,Bracket,Gretna Elite Academy ECNL GU18/U19,4,0,Eclipse Select SC North ECNL GU18/U19,,,On Time,172238
2021-02-27,04:00 PM,Bracket,Eclipse Select SC ECNL GU18/U19,2,0,Kansas City Athletics ECNL GU18/U19,Swope Soccer Village,Field 3,On Time,172225
2021-02-28,08:00 AM,Bracket,Michigan Hawks Magic ECNL GU18/U19,1,4,Minnesota Thunder ECNL GU18/U19,St. Joe's Sports Complex,Dome,On Time,172266
2021-02-28,10:00 AM,Bracket,Kansas City Athletics ECNL GU18/U19,6,1,Eclipse Select SC North ECNL GU18/U19,Swope Soccer Village,Field 4,On Time,172254
2021-02-28,01:30 PM,Bracket,Gretna Elite Academy ECNL GU18/U19,0,7,Eclipse Select SC ECNL GU18/U19,,,On Time,172261
2021-03-06,02:00 PM,Bracket,Minnesota Thunder ECNL GU18/U19,3,1,FC Wisconsin ECNL GU18/U19,Academy of Holy Angels,South Turf 1 (11v11),On Time,172250
2021-03-14,03:30 PM,Bracket,Michigan Hawks ECNL GU18/U19,1,1,Eclipse Select SC North ECNL GU18/U19,Dowling Park,Field 1,On Time,172252
2021-03-20,01:00 PM,Bracket,Eclipse Select SC ECNL GU18/U19,2,2,SLSG White ECNL GU18/U19,O'Fallon Sports Park,Field 3,On Time,172256
2021-04-03,09:00 AM,Bracket,Eclipse Select SC North ECNL GU18/U19,1,5,Eclipse Select SC ECNL GU18/U19,Oak Brook PD Turf,Field 1,On Time,172233
2021-04-25,08:30 AM,Bracket,Minnesota Thunder ECNL GU18/U19,0,5,Eclipse Select SC ECNL GU18/U19,UW River Falls Ramer Field,Field 1,On Time,172263
2021-05-01,01:15 PM,Bracket,Michigan Hawks ECNL GU18/U19,1,0,Minnesota Thunder ECNL GU18/U19,Stuarts Sports Complex,Field 22,On Time,172267
