rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Jacksonville FC ECNL GU14,No Club Selection,35265,16,12,2,2,38,2.38,48,13,35
2,Tampa Bay United Rowdies ECNL GU14,Tampa Bay United,21279,16,12,3,1,37,2.31,29,12,17
3,Orlando City ECNL GU14,Seminole United,35258,16,10,4,2,32,2.0,39,23,16
4,GSA ECNL GU14,Gwinnett Soccer Academy,33371,16,9,2,5,32,2.0,35,19,16
5,Concorde Fire Platinum ECNL GU14,Concorde Fire ,35256,16,9,5,2,29,1.81,51,29,22
6,Sunrise Prime FC ECNL GU14,Athletic Club Florida,22549,16,7,5,4,25,1.56,30,28,2
7,Alabama FC ECNL GU14,Alabama FC,35266,16,5,7,4,19,1.19,26,29,-3
8,Atlanta Fire United ECNL GU14,Atlanta Fire United,34662,16,5,8,3,18,1.13,16,22,-6
9,United Futbol Academy ECNL GU14,United Futbol Academy,45835,16,4,6,6,18,1.13,24,39,-15
10,Florida Elite SA ECNL GU14,Sporting SA,35114,16,3,13,0,9,0.56,9,38,-29
11,Florida Krush ECNL GU14,Florida Kraze Krush,35020,16,0,10,6,6,0.38,16,32,-16
12,Concorde Fire Premier ECNL GU14,Concorde Fire ,35262,16,1,12,3,6,0.38,12,51,-39
