rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Atlanta Fire United ECNL GU18/U19 Composite,Atlanta Fire United,2828,11,9,1,1,28,2.55,19,7,12
2,United Futbol Academy ECNL GU18/U19 Composite ,United Futbol Academy,47656,11,8,2,1,25,2.27,26,7,19
3,Tampa Bay United Rowdies ECNL GU18/U19 Composite,Tampa Bay United,7069,8,4,2,2,14,1.75,17,10,7
4,Sunrise Prime FC ECNL GU18/U19 Composite,Athletic Club Florida,47370,9,3,5,1,10,1.11,14,19,-5
5,Concorde Fire Premier ECNL U18/U19 Composite,Concorde Fire ,2862,11,3,6,2,11,1.0,15,17,-2
6,GSA ECNL GU18/U19 Composite,Gwinnett Soccer Academy,2931,10,2,5,3,9,0.9,9,11,-2
7,Alabama FC  ECNL GU18/U19 Composite ,Alabama FC,47751,11,3,8,0,9,0.82,10,25,-15
8,Jacksonville FC ECNL GU18/U19 Composite,Jacksonville FC,47297,7,1,4,2,5,0.71,6,20,-14
