rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Alabama FC ECNL GU13,Alabama FC,46807,16,13,2,1,40,2.5,37,13,24
2,GSA ECNL GU13,Gwinnett Soccer Academy,46812,16,12,3,1,37,2.31,42,16,26
3,Jacksonville FC ECNL GU13,Jacksonville FC,46814,15,7,6,2,23,1.53,22,19,3
4,Florida Elite SA ECNL GU13,Sporting SA,46901,15,6,5,4,22,1.47,19,11,8
5,Sunrise Prime FC ECNL GU13,Athletic Club Florida,38492,16,7,7,2,23,1.44,20,21,-1
6,Atlanta Fire United ECNL GU13,Atlanta Fire United,43088,16,4,9,3,15,0.94,10,34,-24
7,Florida Krush ECNL GU13,Florida Kraze Krush,34961,16,3,8,5,14,0.88,17,25,-8
8,Orlando City ECNL GU13,Seminole United,28033,16,3,10,3,12,0.75,15,35,-20
9,Tampa Bay United Rowdies ECNL GU13,Tampa Bay United,36328,16,1,10,5,8,0.5,14,44,-30
10,United Futbol Academy ECNL GU13,United Futbol Academy,45834,16,1,12,3,6,0.38,12,60,-48
