rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
9,Florida Elite SA ECNL GU17,Sporting SA,10877,14,3,8,3,12,0.86,10,29,-19,GU17,ECNL
10,Florida Krush ECNL GU17,Florida Kraze Krush,10883,15,3,11,1,10,0.67,18,40,-22,GU17,ECNL
11,Concorde Fire Premier ECNL GU17,Concorde Fire ,10013,15,1,13,1,4,0.27,15,50,-35,GU17,ECNL
12,Jacksonville FC ECNL GU17,No Club Selection,11611,15,0,13,2,2,0.13,13,63,-50,GU17,ECNL
1,Concorde Fire Platinum ECNL GU18/U19,Concorde Fire ,19904,14,10,1,3,33,2.36,48,14,34,GU18/U19,ECNL
2,Tampa Bay United Rowdies ECNL GU18/U19,Tampa Bay United,7068,16,11,2,3,36,2.25,37,16,21,GU18/U19,ECNL
3,Sunrise Prime FC ECNL GU18/U19,Athletic Club Florida,20330,16,9,7,0,27,1.69,37,32,5,GU18/U19,ECNL
4,Concorde Fire Premier ECNL GU18/U19,Concorde Fire ,6884,16,7,5,4,25,1.56,22,22,0,GU18/U19,ECNL
5,GSA ECNL GU18/U19,Gwinnett Soccer Academy,6896,13,6,5,2,20,1.54,26,23,3,GU18/U19,ECNL
6,Orlando City ECNL GU18/U19,Seminole United,6894,16,7,6,3,24,1.5,23,24,-1,GU18/U19,ECNL
7,Jacksonville FC ECNL GU18/U19,Jacksonville FC,7209,13,6,7,0,18,1.38,18,21,-3,GU18/U19,ECNL
8,United Futbol Academy ECNL GU18/U19,United Futbol Academy,45839,16,5,6,5,20,1.25,26,32,-6,GU18/U19,ECNL
9,Florida Elite SA ECNL GU18/U19,Sporting SA,10878,12,4,7,1,13,1.08,18,27,-9,GU18/U19,ECNL
10,Alabama FC ECNL GU18/U19,Alabama FC,6875,16,4,9,3,15,0.94,17,37,-20,GU18/U19,ECNL
11,Florida Krush ECNL GU18/U19,Florida Kraze Krush,10884,15,2,9,4,10,0.67,21,40,-19,GU18/U19,ECNL
12,Atlanta Fire United ECNL GU18/U19,Atlanta Fire United,6873,15,1,8,6,9,0.6,16,21,-5,GU18/U19,ECNL
1,Atlanta Fire United ECNL GU18/U19 Composite,Atlanta Fire United,2828,11,9,1,1,28,2.55,19,7,12,GU18/U19 Composite,ECNL
2,United Futbol Academy ECNL GU18/U19 Composite ,United Futbol Academy,47656,11,8,2,1,25,2.27,26,7,19,GU18/U19 Composite,ECNL
3,Tampa Bay United Rowdies ECNL GU18/U19 Composite,Tampa Bay United,7069,8,4,2,2,14,1.75,17,10,7,GU18/U19 Composite,ECNL
4,Sunrise Prime FC ECNL GU18/U19 Composite,Athletic Club Florida,47370,9,3,5,1,10,1.11,14,19,-5,GU18/U19 Composite,ECNL
5,Concorde Fire Premier ECNL U18/U19 Composite,Concorde Fire ,2862,11,3,6,2,11,1.0,15,17,-2,GU18/U19 Composite,ECNL
6,GSA ECNL GU18/U19 Composite,Gwinnett Soccer Academy,2931,10,2,5,3,9,0.9,9,11,-2,GU18/U19 Composite,ECNL
7,Alabama FC  ECNL GU18/U19 Composite ,Alabama FC,47751,11,3,8,0,9,0.82,10,25,-15,GU18/U19 Composite,ECNL
8,Jacksonville FC ECNL GU18/U19 Composite,Jacksonville FC,47297,7,1,4,2,5,0.71,6,20,-14,GU18/U19 Composite,ECNL
