rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Concorde Fire Platinum ECNL GU15,Concorde Fire ,19885,16,15,1,0,45,2.81,42,6,36
2,GSA ECNL GU15,Gwinnett Soccer Academy,20326,16,13,3,0,39,2.44,42,11,31
3,Sunrise Prime FC ECNL GU15,Athletic Club Florida,20328,16,11,2,3,36,2.25,22,11,11
4,Tampa Bay United Rowdies ECNL GU15,Tampa Bay United,20339,16,9,5,2,29,1.81,32,16,16
5,Alabama FC ECNL GU15,Alabama FC,20321,16,9,6,1,28,1.75,26,22,4
6,Florida Krush ECNL GU15,No Club Selection,20335,16,5,6,5,20,1.25,14,16,-2
7,Florida Elite SA ECNL GU15,Sporting SA,20333,16,3,5,8,17,1.06,12,18,-6
8,Atlanta Fire United ECNL GU15,Atlanta Fire United,20323,16,4,11,1,13,0.81,11,33,-22
9,Concorde Fire Premier ECNL GU15,Concorde Fire ,20325,16,3,9,4,13,0.81,18,29,-11
10,United Futbol Academy ECNL GU15,United Futbol Academy,45836,16,4,12,0,12,0.75,14,37,-23
11,Orlando City ECNL GU15,Seminole United,20338,16,2,9,5,11,0.69,4,17,-13
12,Jacksonville FC ECNL GU15,No Club Selection,20322,16,1,10,5,8,0.5,7,28,-21
