rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Concorde Fire Platinum ECNL GU17,Concorde Fire ,19903,16,15,0,1,46,2.88,66,8,58
2,Sunrise Prime FC ECNL GU17,Athletic Club Florida,20329,16,12,4,0,36,2.25,48,26,22
3,United Futbol Academy ECNL GU17,United Futbol Academy,45838,16,11,3,2,35,2.19,58,22,36
4,Tampa Bay United Rowdies ECNL GU17,Tampa Bay United,11608,16,9,4,3,30,1.88,36,17,19
5,GSA ECNL GU17,Gwinnett Soccer Academy,8843,15,8,4,3,27,1.8,26,20,6
6,Atlanta Fire United ECNL GU17,Atlanta Fire United,8667,14,8,6,0,24,1.71,25,26,-1
7,Alabama FC ECNL GU17,Alabama FC,11338,16,6,7,3,21,1.31,34,44,-10
8,Orlando City ECNL GU17,Seminole United,11610,16,5,8,3,18,1.13,17,21,-4
9,Florida Elite SA ECNL GU17,Sporting SA,10877,14,3,8,3,12,0.86,10,29,-19
10,Florida Krush ECNL GU17,Florida Kraze Krush,10883,15,3,11,1,10,0.67,18,40,-22
11,Concorde Fire Premier ECNL GU17,Concorde Fire ,10013,15,1,13,1,4,0.27,15,50,-35
12,Jacksonville FC ECNL GU17,No Club Selection,11611,15,0,13,2,2,0.13,13,63,-50
