rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,PDA Blue ECNL GU16,PDA Blue (North),1792,14,14,0,0,42,3.0,66,7,59
2,Match Fit Academy ECNL GU16,Match Fit Surf,12263,16,10,4,2,32,2.0,33,17,16
3,Pipeline SC ECNL GU16,No Club Selection,45830,16,8,5,3,27,1.69,26,20,6
4,Penn Fusion ECNL GU16,Penn Fusion Soccer Academy,44734,16,8,6,2,26,1.63,30,28,2
5,Maryland United ECNL GU16,No Club Selection,12265,15,6,5,4,22,1.47,19,17,2
6,FC Bucks ECNL GU16,HEX FC,11974,16,5,8,3,18,1.13,28,42,-14
7,Bethesda SC ECNL GU16,Bethesda SC,11883,15,3,4,8,17,1.13,23,22,1
8,PDA South ECNL GU16,PDA South,1814,16,2,13,1,7,0.44,11,53,-42
9,FC Delco ECNL GU16,FC DELCO,11808,16,1,12,3,6,0.38,9,39,-30
