date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-05-13,08:00 PM,Bracket,PDA South ECNL GU17,1,2,FC Bucks ECNL GU17,Westampton Sports Complex,Field 2,On Time,173795
2021-05-15,09:00 AM,Bracket,FC Bucks ECNL GU17,0,0,PDA South ECNL GU17,Council Rock North High School,Turf Field,On Time,173827
2021-05-15,11:00 AM,Bracket,Maryland United ECNL GU17,2,1,Pipeline SC ECNL GU17,Indian Creek,Field 1,On Time,173828
2021-05-15,03:00 PM,Bracket,FC Delco ECNL GU17,0,2,Penn Fusion ECNL GU17,Proving Grounds,1,On Time,173826
2021-05-16,11:00 AM,Bracket,Penn Fusion ECNL GU17,1,2,Pipeline SC ECNL GU17,USTC,Zach Steffen Field,On Time,173788
2021-05-16,02:00 PM,Bracket,PDA Blue ECNL GU17,3,0,FC Bucks ECNL GU17,PDA Main Complex,Field 5,On Time,173785
2021-05-16,02:30 PM,Bracket,Bethesda SC ECNL GU17,1,1,Match Fit Academy ECNL GU17,Walter Johnson High School ,Stadium,On Time,173799
2021-05-20,07:00 PM,Bracket,PDA South ECNL GU17,1,3,Penn Fusion ECNL GU17,Westampton Sports Complex,Field 2,On Time,173767
2021-05-22,11:00 AM,Bracket,PDA South ECNL GU17,3,1,Pipeline SC ECNL GU17,Westampton Sports Complex,Field 2,On Time,173831
2021-05-22,02:00 PM,Bracket,Bethesda SC ECNL GU17,2,4,PDA Blue ECNL GU17,Walter Johnson High School ,Stadium,On Time,173796
2021-05-22,04:00 PM,Bracket,Maryland United ECNL GU17,3,4,Penn Fusion ECNL GU17,Indian Creek,Field 1,On Time,173830
2021-05-23,12:30 PM,Bracket,FC Bucks ECNL GU17,1,4,Pipeline SC ECNL GU17,Bryn Athyn College,Turf,On Time,173833
2021-05-23,03:30 PM,Bracket,Match Fit Academy ECNL GU17,4,0,Bethesda SC ECNL GU17,Morris Catholic High School,Field 2 Lower,On Time,173832
2021-05-23,06:15 PM,Bracket,Penn Fusion ECNL GU17,1,0,Maryland United ECNL GU17,Penn Fusion Kildare's Turf ,Stadium,On Time,173797
2021-05-26,06:15 PM,Bracket,Maryland United ECNL GU17,1,0,Bethesda SC ECNL GU17,Maryland Soccerplex,Field,On Time,173782
2021-05-29,10:00 AM,Bracket,FC Bucks ECNL GU17,1,0,FC Delco ECNL GU17,Council Rock North High School,Turf Field,On Time,173768
2021-05-29,12:15 PM,Bracket,Bethesda SC ECNL GU17,1,0,Maryland United ECNL GU17,Walter Johnson High School ,Stadium,On Time,173764
2021-05-29,12:30 PM,Bracket,Match Fit Academy ECNL GU17,,,PDA South ECNL GU17,Morris Catholic High School,Field 1 Upper,On Time,173786
2021-05-30,02:30 PM,Bracket,Match Fit Academy ECNL GU17,1,2,PDA Blue ECNL GU17,Drew University,Field,On Time,173825
2021-05-30,03:45 PM,Bracket,Maryland United ECNL GU17,4,0,FC Delco ECNL GU17,Bowie High School ,Field 1,On Time,173834
2021-06-05,04:00 PM,Bracket,PDA Blue ECNL GU17,,,Bethesda SC ECNL GU17,PDA Main Complex,Field 3,On Time,173829
2021-06-08,07:00 PM,Bracket,Pipeline SC ECNL GU17,0,1,Maryland United ECNL GU17,Mercy High School,Field 1,On Time,173783
2021-06-10,08:00 PM,Bracket,PDA South ECNL GU17,0,4,PDA Blue ECNL GU17,Westampton Sports Complex,Field 2,On Time,173822
2021-06-12,10:45 AM,Bracket,Bethesda SC ECNL GU17,2,4,Pipeline SC ECNL GU17,Walter Johnson High School ,Stadium,On Time,173763
2021-06-12,04:00 PM,Bracket,Maryland United ECNL GU17,3,1,PDA South ECNL GU17,Indian Creek,Field 1,On Time,173775
2021-06-13,12:30 PM,Bracket,Maryland United ECNL GU17,0,0,FC Bucks ECNL GU17,Indian Creek,Field 1,On Time,173779
2021-06-14,12:00 PM,Bracket,FC Bucks ECNL GU17,,,PDA Blue ECNL GU17,Council Rock North High School,Turf Field,On Time,173817
