rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,PDA Blue ECNL GU16,PDA Blue (North),1822,3,3,0,0,9,3.0,13,3,10
2,Internationals SC ECNL GU16,Internationals SC,20363,3,3,0,0,9,3.0,12,3,9
3,SLSG Navy ECNL GU16,St. Louis Scott Gallagher,20075,3,3,0,0,9,3.0,8,0,8
4,FC Dallas ECNL GU16,FC Dallas Youth,46784,3,3,0,0,9,3.0,8,0,8
5,Solar SC ECNL GU16,Solar SC,11423,3,3,0,0,9,3.0,12,5,7
6,VDA ECNL GU16,Virginia Development Academy,19656,3,3,0,0,9,3.0,9,2,7
7,World Class FC ECNL GU16,World Class FC,20357,3,3,0,0,9,3.0,6,3,3
8,Slammers FC HB Koge ECNL GU16,Slammers FC HB Koge,17118,3,2,0,1,7,2.33,8,3,5
9,NC Fusion ECNL GU16,NC Fusion,20316,3,2,0,1,7,2.33,9,5,4
10,Eclipse Select SC ECNL GU16,Eclipse Select Soccer Club,20375,3,2,1,0,6,2.0,12,3,9
11,SLAMMERS FC ECNL GU16,Slammers FC,9292,3,2,1,0,6,2.0,9,4,5
12,Concorde Fire Platinum ECNL GU16,Concorde Fire ,19885,3,2,1,0,6,2.0,8,5,3
13,Ohio Premier ECNL GU16,Ohio Premier,20367,3,2,1,0,6,2.0,7,4,3
14,So Cal Blues ECNL GU16,So Cal Blues,13344,3,2,1,0,6,2.0,7,5,2
15,Connecticut FC ECNL GU16,Connecticut FC,11478,3,2,1,0,6,2.0,5,3,2
16,Bethesda SC ECNL GU16,Bethesda SC,20341,3,2,1,0,6,2.0,4,2,2
17,NC Courage ECNL GU16,NC Courage Academy,44730,3,2,1,0,6,2.0,4,2,2
18,Colorado Rapids ECNL GU16,Colorado Storm,21349,3,2,1,0,6,2.0,5,4,1
19,Kansas City Athletics ECNL GU16,KC Athletics,19372,3,2,1,0,6,2.0,3,2,1
20,San Juan SC ECNL GU16,San Juan Soccer Club,20430,3,2,1,0,6,2.0,7,7,0
21,OK Energy FC ECNL GU16,Oklahoma Energy FC,59505,3,2,1,0,6,2.0,7,8,-1
22,San Diego Surf ECNL GU16,San Diego Surf Soccer Club,45877,3,1,0,2,5,1.67,4,2,2
23,La Roca FC ECNL GU16,La Roca FC,45850,3,1,1,1,4,1.33,7,4,3
24,FC Alliance ECNL GU16,FC Alliance TN,20358,3,1,1,1,4,1.33,2,5,-3
25,LAFC So Cal ECNL GU16,LAFC So Cal,45889,3,1,2,0,3,1.0,3,3,0
26,United Futbol Academy ECNL GU16,United Futbol Academy,45836,3,1,2,0,3,1.0,3,4,-1
27,Penn Fusion SA ECNL GU16,Penn Fusion Soccer Academy,44735,3,1,2,0,3,1.0,3,5,-2
28,Legends FC ECNL GU16,Legends FC (CA),4624,3,1,2,0,3,1.0,4,7,-3
29,Tampa Bay United ECNL GU16,Tampa Bay United,20339,3,1,2,0,3,1.0,2,5,-3
30,Northwest Elite FC ECNL GU16,Oregon Surf SC,18342,3,1,2,0,3,1.0,5,9,-4
31,VA Union ECNL GU16,Fairfax Virginia Union,20314,3,1,2,0,3,1.0,4,8,-4
32,FC Bucks ECNL GU16,HEX FC,20344,3,1,2,0,3,1.0,3,7,-4
33,DKSC ECNL GU16,No Club Selection,19628,3,0,2,1,1,0.33,4,8,-4
34,SUSA FC ECNL GU16,SUSA FC,20356,3,0,2,1,1,0.33,2,6,-4
35,Crossfire Premier ECNL GU16,Crossfire Premier,13932,3,0,2,1,1,0.33,2,6,-4
36,Ohio Elite Soccer Academy ECNL GU16,Ohio Elite Soccer Academy,20365,3,0,2,1,1,0.33,6,11,-5
37,Minnesota Thunder ECNL GU16,No Club Selection,20378,3,0,2,1,1,0.33,3,9,-6
38,GSA ECNL GU16,Gwinnett Soccer Academy,20326,3,0,2,1,1,0.33,1,7,-6
39,Sporting Blue Valley ECNL GU16,Sporting Blue Valley,46619,3,0,3,0,0,0.0,5,9,-4
40,Davis Legacy ECNL GU16,Davis Legacy Soccer Club,20425,3,0,3,0,0,0.0,1,5,-4
41,Charlotte SA ECNL GU16,Charlotte Soccer Academy,44723,3,0,3,0,0,0.0,0,6,-6
42,Washington Premier ECNL GU16,Washington Premier FC,18776,3,0,3,0,0,0.0,2,9,-7
43,MVLA ECNL GU16,MVLA,20426,3,0,3,0,0,0.0,4,13,-9
44,Rebels SC ECNL GU16,Rebels Soccer Club,35184,3,0,3,0,0,0.0,2,14,-12
