rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Slammers FC HB Koge ECNL GU17,Slammers FC HB Koge,10076,3,3,0,0,9,3.0,12,3,9
2,San Diego Surf ECNL GU17,San Diego Surf Soccer Club,45878,3,3,0,0,9,3.0,11,3,8
3,Internationals SC ECNL GU17,Internationals SC,12534,3,3,0,0,9,3.0,8,0,8
4,Davis Legacy ECNL GU17,Davis Legacy Soccer Club,11107,3,3,0,0,9,3.0,8,3,5
5,World Class FC ECNL GU17,World Class FC,12262,3,3,0,0,9,3.0,7,2,5
6,Crossfire Premier ECNL GU17,Crossfire Premier,12590,3,3,0,0,9,3.0,13,9,4
7,Penn Fusion SA ECNL GU17,Penn Fusion Soccer Academy,44734,3,2,0,1,7,2.33,9,1,8
8,Richmond United ECNL GU17,Richmond United,11507,3,2,1,0,6,2.0,7,1,6
9,Sporting Blue Valley ECNL GU17,Sporting Blue Valley,46620,3,2,1,0,6,2.0,7,2,5
10,PDA Blue ECNL GU17,PDA Blue (North),1792,3,2,1,0,6,2.0,12,8,4
11,FC Dallas ECNL GU17,FC Dallas Youth,46785,3,2,1,0,6,2.0,8,4,4
12,MVLA ECNL GU17,MVLA,12024,3,2,1,0,6,2.0,9,6,3
13,Real Colorado National ECNL GU17,Real Colorado,45856,3,2,1,0,6,2.0,7,4,3
14,La Roca FC ECNL GU17,La Roca FC,45851,3,2,1,0,6,2.0,6,5,1
15,Beach FC ECNL GU17,Beach Futbol Club,46287,3,2,1,0,6,2.0,4,3,1
16,Wilmington Hammerheads Youth FC  - Wilmington Hamm,Wilmington Hammerheads,19666,3,2,1,0,6,2.0,6,6,0
17,United Futbol Academy ECNL GU17,United Futbol Academy,45837,3,2,1,0,6,2.0,5,5,0
18,FC Stars Blue ECNL GU17,FC Stars,19893,3,2,1,0,6,2.0,5,5,0
19,Kansas City Athletics ECNL GU17,KC Athletics,19378,3,2,1,0,6,2.0,5,5,0
20,NC Fusion ECNL GU17,NC Fusion,13554,3,2,1,0,6,2.0,6,7,-1
21,GSA ECNL GU17,Gwinnett Soccer Academy,11636,3,2,1,0,6,2.0,7,9,-2
22,Florida Elite ECNL GU17,Sporting SA,11546,3,2,1,0,6,2.0,4,8,-4
23,Solar SC ECNL GU17,Solar SC,11427,3,1,0,2,5,1.67,9,7,2
24,Utah Royals FC-AZ ECNL U17,Utah Royals FC - AZ,56707,3,1,0,2,5,1.67,7,5,2
25,Florida Krush ECNL GU17,No Club Selection,11093,3,1,1,1,4,1.33,6,5,1
26,NC Courage ECNL GU17,NC Courage Academy,44731,3,1,1,1,4,1.33,5,5,0
27,AHFC ECNL GU17,Albion Hurricanes FC,12271,3,1,2,0,3,1.0,7,7,0
28,Tennessee Soccer Club ECNL GU17,Tennessee SC,11643,3,1,2,0,3,1.0,4,5,-1
29,Portland Thorns ECNL GU17,Portland Thorns FC,45862,3,1,2,0,3,1.0,3,4,-1
30,OK Energy FC ECNL GU17,Oklahoma Energy FC,59506,3,1,2,0,3,1.0,7,9,-2
31,Michigan Hawks ECNL GU17,Michigan Hawks,19897,3,1,2,0,3,1.0,4,6,-2
32,Pipeline SC ECNL GU17,No Club Selection,45830,3,1,2,0,3,1.0,3,6,-3
33,Minnesota Thunder ECNL GU17,No Club Selection,12530,3,1,2,0,3,1.0,5,9,-4
34,PDA White ECNL GU17,Players Development Academy,1866,3,0,2,1,1,0.33,2,4,-2
35,Sporting California Arsenal FC - ECNL GU17,Sporting California USA,15648,3,0,2,1,1,0.33,4,7,-3
36,SLSG Navy ECNL GU17,St. Louis Scott Gallagher,11283,3,0,2,1,1,0.33,3,7,-4
37,DKSC ECNL GU17,No Club Selection,11872,3,0,3,0,0,0.0,1,4,-3
38,Mustang SC ECNL GU17,Mustang Soccer,12598,3,0,3,0,0,0.0,4,8,-4
39,Kings Hammer SC ECNL GU17, Kings Hammer Columbus,47020,3,0,3,0,0,0.0,5,10,-5
40,Charlotte SA ECNL GU17,Charlotte Soccer Academy,44724,3,0,3,0,0,0.0,3,10,-7
41,Ohio Premier ECNL GU17,Ohio Premier,12300,3,0,3,0,0,0.0,3,10,-7
42,Strikers FC ECNL GU17,Strikers FC ECNL,20460,3,0,3,0,0,0.0,5,13,-8
43,Ohio Elite Soccer Academy ECNL GU17,Ohio Elite Soccer Academy,7589,3,0,3,0,0,0.0,4,12,-8
44,Northwest Elite FC ECNL GU17,Oregon Surf SC,7129,3,0,3,0,0,0.0,1,9,-8
