rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,PDA Blue ECNL GU13,PDA Blue (North),13678,3,3,0,0,9,3.0,15,0,15
2,SUSA FC ECNL GU13,SUSA FC,46963,3,3,0,0,9,3.0,11,2,9
3,San Diego Surf ECNL GU13,San Diego Surf Soccer Club,61178,3,3,0,0,9,3.0,10,1,9
4,DKSC ECNL GU13,DKSC,47082,3,3,0,0,9,3.0,9,1,8
5,Slammers FC HB Koge ECNL GU13,Slammers FC HB Koge,54921,3,3,0,0,9,3.0,8,1,7
6,Match Fit Academy ECNL GU13,Match Fit Surf,46947,3,3,0,0,9,3.0,4,1,3
7,SLSG Navy ECNL GU13,St. Louis Scott Gallagher,54343,3,2,0,1,7,2.33,8,1,7
8,Real Colorado National ECNL GU13,Real Colorado,58631,3,2,0,1,7,2.33,10,4,6
9,Richmond United ECNL GU13,Richmond United,59426,3,2,0,1,7,2.33,7,3,4
10,Charlotte Independence ECNL GU13,Charlotte Independence SC,59088,3,2,0,1,7,2.33,4,2,2
11,So Cal Blues ECNL GU13,So Cal Blues,60035,3,2,1,0,6,2.0,10,1,9
12,Eclipse Select SC ECNL GU13,Eclipse Select Soccer Club,59906,3,2,1,0,6,2.0,10,3,7
13,Solar SC ECNL GU13,Solar SC,59562,3,2,1,0,6,2.0,8,3,5
14,Charlotte SA ECNL GU13,Charlotte Soccer Academy,59885,3,2,1,0,6,2.0,5,3,2
15,San Juan SC ECNL GU13,San Juan Soccer Club,31488,3,2,1,0,6,2.0,3,1,2
16,Minnesota Thunder ECNL GU13,Minnesota Thunder Academy,52518,3,2,1,0,6,2.0,3,1,2
17,Eagles SC ECNL GU13,Eagles SC,5544,3,2,1,0,6,2.0,4,4,0
18,Michigan Hawks ECNL - GU13,Michigan Hawks,50646,3,1,0,2,5,1.67,5,3,2
19,Loudoun Soccer ECNL GU13,Northern Virginia Alliance,54842,3,1,1,1,4,1.33,3,2,1
20,Beach FC ECNL GU13,Beach Futbol Club,60046,3,1,1,1,4,1.33,4,4,0
21,Internationals SC ECNL GU13,Internationals SC,47003,3,1,1,1,4,1.33,4,4,0
22, MVLA ECNL GU13,MVLA,33438,3,1,1,1,4,1.33,3,3,0
23,FC Prime ECNL GU13,Athletic Club Florida,46728,3,1,1,1,4,1.33,3,4,-1
24,Santa Rosa United ECNL GU13,Santa Rosa United Soccer,49621,3,1,1,1,4,1.33,3,5,-2
25,Legends FC ECNL GU13,Legends FC (CA),10361,3,1,1,1,4,1.33,2,4,-2
26,Concorde Fire Platinum ECNL GU13,Concorde Fire ,59255,3,1,2,0,3,1.0,4,2,2
27,Kansas City Athletics ECNL GU13,KC Athletics,46766,3,1,2,0,3,1.0,4,4,0
28,United Futbol Academy ECNL GU13,United Futbol Academy,59536,3,1,2,0,3,1.0,2,4,-2
29,World Class FC  ECNL GU13,World Class FC,46959,3,1,2,0,3,1.0,2,6,-4
30,Tennessee SC ECNL GU13,Tennessee SC,47036,3,1,2,0,3,1.0,4,9,-5
31,FC Stars Blue ECNL GU13,FC Stars,36636,3,1,2,0,3,1.0,3,8,-5
32,GSA - ECNL GU13,Gwinnett Soccer Academy,59311,3,1,2,0,3,1.0,3,9,-6
33,Seattle United ECNL GU13,Seattle United,56728,3,0,1,2,2,0.67,0,3,-3
34,Crossfire Premier ECNL GU13,Crossfire Premier,60436,3,0,1,2,2,0.67,1,7,-6
35,Ohio Premier ECNL GU13,Ohio Premier,60137,3,0,2,1,1,0.33,2,4,-2
36,Challenge SC ECNL GU13,Challenge SC,55881,3,0,2,1,1,0.33,1,6,-5
37,Portland Thorns ECNL GU13,Portland Thorns FC,59582,3,0,2,1,1,0.33,1,6,-5
38,NC Courage ECNL GU13,NC Courage Academy,60108,3,0,2,1,1,0.33,5,11,-6
39,Ohio Elite Soccer Academy ECNL GU13,Ohio Elite Soccer Academy,47010,3,0,2,1,1,0.33,1,7,-6
40,FC Dallas ECNL GU13,FC Dallas Youth,58541,3,0,3,0,0,0.0,2,6,-4
41,Alabama FC ECNL GU13 ,Alabama FC,58734,3,0,3,0,0,0.0,2,7,-5
42,Pipeline SC ECNL GU13,Pipeline SC,46948,3,0,3,0,0,0.0,1,6,-5
43,Utah Avalanche ECNL GU13,Utah Avalanche,58149,3,0,3,0,0,0.0,2,13,-11
44,Washington Premier ECNL GU13,Washington Premier FC,54576,3,0,3,0,0,0.0,3,20,-17
