rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,PDA Blue ECNL GU13,PDA Blue (North),13678,3,3,0,0,9,3.0,15,0,15,U13,Champions League
2,SUSA FC ECNL GU13,SUSA FC,46963,3,3,0,0,9,3.0,11,2,9,U13,Champions League
3,San Diego Surf ECNL GU13,San Diego Surf Soccer Club,61178,3,3,0,0,9,3.0,10,1,9,U13,Champions League
4,DKSC ECNL GU13,DKSC,47082,3,3,0,0,9,3.0,9,1,8,U13,Champions League
5,Slammers FC HB Koge ECNL GU13,Slammers FC HB Koge,54921,3,3,0,0,9,3.0,8,1,7,U13,Champions League
6,Match Fit Academy ECNL GU13,Match Fit Surf,46947,3,3,0,0,9,3.0,4,1,3,U13,Champions League
7,SLSG Navy ECNL GU13,St. Louis Scott Gallagher,54343,3,2,0,1,7,2.33,8,1,7,U13,Champions League
8,Real Colorado National ECNL GU13,Real Colorado,58631,3,2,0,1,7,2.33,10,4,6,U13,Champions League
9,Richmond United ECNL GU13,Richmond United,59426,3,2,0,1,7,2.33,7,3,4,U13,Champions League
10,Charlotte Independence ECNL GU13,Charlotte Independence SC,59088,3,2,0,1,7,2.33,4,2,2,U13,Champions League
11,So Cal Blues ECNL GU13,So Cal Blues,60035,3,2,1,0,6,2.0,10,1,9,U13,Champions League
12,Eclipse Select SC ECNL GU13,Eclipse Select Soccer Club,59906,3,2,1,0,6,2.0,10,3,7,U13,Champions League
13,Solar SC ECNL GU13,Solar SC,59562,3,2,1,0,6,2.0,8,3,5,U13,Champions League
14,Charlotte SA ECNL GU13,Charlotte Soccer Academy,59885,3,2,1,0,6,2.0,5,3,2,U13,Champions League
15,San Juan SC ECNL GU13,San Juan Soccer Club,31488,3,2,1,0,6,2.0,3,1,2,U13,Champions League
16,Minnesota Thunder ECNL GU13,Minnesota Thunder Academy,52518,3,2,1,0,6,2.0,3,1,2,U13,Champions League
17,Eagles SC ECNL GU13,Eagles SC,5544,3,2,1,0,6,2.0,4,4,0,U13,Champions League
18,Michigan Hawks ECNL - GU13,Michigan Hawks,50646,3,1,0,2,5,1.67,5,3,2,U13,Champions League
19,Loudoun Soccer ECNL GU13,Northern Virginia Alliance,54842,3,1,1,1,4,1.33,3,2,1,U13,Champions League
20,Beach FC ECNL GU13,Beach Futbol Club,60046,3,1,1,1,4,1.33,4,4,0,U13,Champions League
21,Internationals SC ECNL GU13,Internationals SC,47003,3,1,1,1,4,1.33,4,4,0,U13,Champions League
22, MVLA ECNL GU13,MVLA,33438,3,1,1,1,4,1.33,3,3,0,U13,Champions League
23,FC Prime ECNL GU13,Athletic Club Florida,46728,3,1,1,1,4,1.33,3,4,-1,U13,Champions League
24,Santa Rosa United ECNL GU13,Santa Rosa United Soccer,49621,3,1,1,1,4,1.33,3,5,-2,U13,Champions League
25,Legends FC ECNL GU13,Legends FC (CA),10361,3,1,1,1,4,1.33,2,4,-2,U13,Champions League
26,Concorde Fire Platinum ECNL GU13,Concorde Fire ,59255,3,1,2,0,3,1.0,4,2,2,U13,Champions League
27,Kansas City Athletics ECNL GU13,KC Athletics,46766,3,1,2,0,3,1.0,4,4,0,U13,Champions League
28,United Futbol Academy ECNL GU13,United Futbol Academy,59536,3,1,2,0,3,1.0,2,4,-2,U13,Champions League
29,World Class FC  ECNL GU13,World Class FC,46959,3,1,2,0,3,1.0,2,6,-4,U13,Champions League
