rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,FC Dallas Youth ECNL G2013/14,FC Dallas Youth,96490,1,1,0,0,3,3.0,4,0,4
2,DKSC ECNL G2013/14,DKSC,131839,1,1,0,0,3,3.0,3,0,3
3,Real Colorado National ECNL G2013/14,Real Colorado,108897,4,3,1,0,9,2.25,7,1,6
4,OK Energy FC ECNL G2013/14,Oklahoma Energy FC,94445,2,1,0,1,4,2.0,8,2,6
5,Albion Hurricanes FC ECNL G2013/14,Albion Hurricanes FC,69768,2,1,0,1,4,2.0,4,1,3
6,Challenge SC ECNL G2013/14,Challenge SC,129343,2,1,0,1,4,2.0,5,3,2
7,Sting Royal ECNL G2013/14,Sting Soccer Club,131001,2,1,0,1,4,2.0,1,0,1
8,FC Westlake ECNL G2013/14,FC Westlake ,131271,4,2,1,1,7,1.75,8,4,4
9,Colorado Storm ECNL G2013/14,Colorado Storm,132370,4,2,2,0,6,1.5,8,6,2
10,Sting Black ECNL G2013/14,Sting Soccer Club,111690,1,0,0,1,1,1.0,0,0,0
11,Colorado Rush ECNL G2013/14,Colorado Rush,132180,3,0,1,2,2,0.67,3,6,-3
12,SOLAR SC ECNL G2013/14,Solar SC,69973,0,0,0,0,0,0.0,0,0,0
13,Dallas Texans ECNL G2013/14,Dallas Texans,134490,1,0,1,0,0,0.0,0,3,-3
14,West Side Alliance ECNL G2013/14,West Side Alliance SC,129323,1,0,1,0,0,0.0,0,5,-5
15,Real Colorado Athletico ECNL G2013/14,Real Colorado,127617,3,0,3,0,0,0.0,1,10,-9
16,Lonestar ATX Red ECNL G2013/14,Lonestar ATX,132704,3,0,3,0,0,0.0,1,12,-11
