rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,FC Dallas Youth ECNL G2010/11,FC Dallas Youth,63889,2,2,0,0,6,3.0,11,1,10
2,FC Westlake ECNL G2010/11,FC Westlake ,131274,4,3,0,1,10,2.5,8,2,6
3,Sting Royal ECNL G2010/11,Sting Soccer Club,80240,3,1,0,2,5,1.67,2,1,1
4,OK Energy FC ECNL G2010/11,Oklahoma Energy FC,80774,2,1,1,0,3,1.5,3,4,-1
5,Real Colorado Athletico ECNL G2010/11,Real Colorado,81521,2,1,1,0,3,1.5,3,4,-1
6,Real Colorado National ECNL G2010/11,Real Colorado,81431,5,2,2,1,7,1.4,5,8,-3
7,Dallas Texans ECNL G2010/11,Dallas Texans,134487,1,0,0,1,1,1.0,2,2,0
8,DKSC ECNL G2010/11,DKSC,81104,1,0,0,1,1,1.0,2,2,0
9,Sting Black ECNL G2010/11,Sting Soccer Club,80765,1,0,0,1,1,1.0,1,1,0
10,Albion Hurricanes FC ECNL G2010/11,Albion Hurricanes FC,40463,1,0,0,1,1,1.0,0,0,0
11,Lonestar ATX Red ECNL G2010/11,Lonestar ATX,132699,4,1,2,1,4,1.0,6,7,-1
12,Colorado Storm ECNL G2010/11,Colorado Storm,72334,5,1,2,2,5,1.0,4,9,-5
13,Colorado Rush ECNL G2010/11,Colorado Rush,95046,2,0,1,1,1,0.5,0,1,-1
14,SOLAR SC ECNL G2010/11,Solar SC,81882,0,0,0,0,0,0.0,0,0,0
15,Challenge SC ECNL G2010/11,Challenge SC,129340,1,0,1,0,0,0.0,2,3,-1
16,West Side Alliance ECNL G2010/11,West Side Alliance SC,110468,2,0,2,0,0,0.0,1,5,-4
