rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Sting Royal ECNL G2011/12,Sting Soccer Club,59609,2,2,0,0,6,3.0,7,1,6
2,Albion Hurricanes FC ECNL G2011/12,Albion Hurricanes FC,81918,2,2,0,0,6,3.0,6,1,5
3,Challenge SC ECNL G2011/12,Challenge SC,129341,2,2,0,0,6,3.0,6,1,5
4,DKSC ECNL G2011/12,DKSC,81105,1,1,0,0,3,3.0,1,0,1
5,Lonestar ATX Red ECNL G2011/12,Lonestar ATX,132702,4,3,0,1,10,2.5,10,5,5
6,FC Westlake ECNL G2011/12,FC Westlake ,131273,3,2,0,1,7,2.33,9,3,6
7,Real Colorado National ECNL G2011/12,Real Colorado,95108,5,2,1,2,8,1.6,10,9,1
8,FC Dallas Youth ECNL G2011/12,FC Dallas Youth,94652,2,1,1,0,3,1.5,4,3,1
9,Colorado Storm ECNL G2011/12,Colorado Storm,71847,4,1,3,0,3,0.75,5,6,-1
10,SOLAR SC ECNL G2011/12,Solar SC,59566,0,0,0,0,0,0.0,0,0,0
11,OK Energy FC ECNL G2011/12,Oklahoma Energy FC,94440,1,0,1,0,0,0.0,1,2,-1
12,Dallas Texans ECNL G2011/12,Dallas Texans,134488,1,0,1,0,0,0.0,0,1,-1
13,Sting Black ECNL G2011/12,Sting Soccer Club,116000,1,0,1,0,0,0.0,0,4,-4
14,Colorado Rush ECNL G2011/12,Colorado Rush,95047,3,0,3,0,0,0.0,0,7,-7
15,Real Colorado Athletico ECNL G2011/12,Real Colorado,95110,3,0,3,0,0,0.0,2,10,-8
16,West Side Alliance ECNL G2011/12,West Side Alliance SC,111175,2,0,2,0,0,0.0,1,9,-8
