rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,NC Fusion ECNL G2010/11,NC Fusion,69224,1,1,0,0,3,3.0,2,0,2
2,NCFC Youth NC Courage ECNL G2010/11,NCFC Youth,130286,1,1,0,0,3,3.0,2,0,2
3,VDA ECNL G2010/11,Virginia Development Academy,81266,1,1,0,0,3,3.0,2,0,2
4,Arlington Soccer Association ECNL G2010/11,Arlington Soccer Association,134237,2,1,1,0,3,1.5,3,2,1
5,NCFC Youth ECNL G2010/11,NCFC Youth,80895,2,0,1,1,1,0.5,1,3,-2
6,Beach FC (VA) ECNL G2010/11,Beach FC,135520,3,0,2,1,1,0.33,1,6,-5
7,Charlotte SA ECNL G2010/11,Charlotte Soccer Academy,131437,0,0,0,0,0,0.0,0,0,0
8,Fairfax Virginia Union ECNL G2010/11,Fairfax Virginia Union,135361,0,0,0,0,0,0.0,0,0,0
9,Richmond United ECNL G2010/11,Richmond United,133821,0,0,0,0,0,0.0,0,0,0
10,South Carolina Surf ECNL G2010/11,South Carolina Surf SC,129047,0,0,0,0,0,0.0,0,0,0
11,Wilmington Hammerheads ECNL G2010/11,Wilmington Hammerheads,134660,0,0,0,0,0,0.0,0,0,0
