rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,NCFC Youth NC Courage ECNL G2012/13,NCFC Youth,130288,1,1,0,0,3,3.0,3,0,3
2,Charlotte SA ECNL G2012/13,Charlotte Soccer Academy,131431,1,1,0,0,3,3.0,3,1,2
3,NCFC Youth ECNL G2012/13,NCFC Youth,98907,2,1,0,1,4,2.0,4,2,2
4,Arlington Soccer Association ECNL G2012/13,Arlington Soccer Association,134239,2,1,0,1,4,2.0,2,0,2
5,VDA ECNL G2012/13,Virginia Development Academy,113303,1,0,0,1,1,1.0,0,0,0
6,Wilmington Hammerheads ECNL G2012/13,Wilmington Hammerheads,134658,2,0,1,1,1,0.5,2,4,-2
7,Fairfax Virginia Union ECNL G2012/13,Fairfax Virginia Union,135363,0,0,0,0,0,0.0,0,0,0
8,Richmond United ECNL G2012/13,Richmond United,133823,0,0,0,0,0,0.0,0,0,0
9,South Carolina Surf ECNL G2012/13,South Carolina Surf SC,129049,0,0,0,0,0,0.0,0,0,0
10,NC Fusion ECNL G2012/13,NC Fusion,95059,1,0,1,0,0,0.0,1,3,-2
11,Beach FC (VA) ECNL G2012/13,Beach FC,135517,2,0,2,0,0,0.0,0,5,-5
