rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,NCFC Youth NC Courage ECNL G2013/14,NCFC Youth,131830,1,1,0,0,3,3.0,7,2,5
2,Charlotte SA ECNL G2013/14,Charlotte Soccer Academy,131428,1,1,0,0,3,3.0,3,0,3
3,VDA ECNL G2013/14,Virginia Development Academy,133050,1,1,0,0,3,3.0,2,1,1
4,NCFC Youth ECNL G2013/14,NCFC Youth,132023,3,2,0,1,7,2.33,6,2,4
5,Arlington Soccer Association ECNL G2013/14,Arlington Soccer Association,134240,2,1,1,0,3,1.5,9,2,7
6,NC Fusion ECNL G2013/14,NC Fusion,112976,1,0,0,1,1,1.0,0,0,0
7,Fairfax Virginia Union ECNL G2013/14,Fairfax Virginia Union,135364,0,0,0,0,0,0.0,0,0,0
8,Richmond United ECNL G2013/14,Richmond United,133824,0,0,0,0,0,0.0,0,0,0
9,South Carolina Surf ECNL G2013/14,South Carolina Surf SC,129050,0,0,0,0,0,0.0,0,0,0
10,Wilmington Hammerheads ECNL G2013/14,Wilmington Hammerheads,134657,2,0,2,0,0,0.0,1,6,-5
11,Beach FC (VA) ECNL G2013/14,Beach FC,135516,3,0,3,0,0,0.0,3,18,-15
