rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,So Cal Blues ECNL GU14,So Cal Blues,35189,13,12,0,1,37,2.85,56,6,50
2,LAFC Slammers ECNL GU14,Slammers FC HB Koge,8995,13,11,2,0,33,2.54,57,11,46
3,San Diego Surf ECNL GU14,San Diego Surf Soccer Club,45876,13,10,2,1,31,2.38,49,11,38
4,Eagles SC ECNL GU14,No Club Selection,1153,15,9,4,2,29,1.93,60,19,41
5,LA Breakers FC ECNL GU14,No Club Selection,34925,15,9,5,1,28,1.87,36,24,12
6,Phoenix Rising ECNL GU14,Phoenix Rising FC,35183,14,8,4,2,26,1.86,38,21,17
7,Real So Cal ECNL GU14,LAFC So Cal,45888,14,7,5,2,23,1.64,29,17,12
8,SLAMMERS FC ECNL GU14,Slammers FC,18022,13,6,6,1,19,1.46,32,20,12
9,Heat FC ECNL GU14,LV Heat Surf SC ,35182,16,5,9,2,17,1.06,42,56,-14
10,Strikers FC ECNL GU14,Strikers FC ECNL,35188,15,4,9,2,14,0.93,19,39,-20
11,Rebels SC ECNL GU14,Rebels Soccer Club,9867,12,3,8,1,10,0.83,15,42,-27
12,AZ Arsenal ECNL GU14,Arizona Arsenal Soccer Club,33451,15,3,11,1,10,0.67,8,34,-26
13,Del Mar Sharks ECNL GU14,Legends FC - Del Mar,35180,13,1,10,2,5,0.38,12,58,-46
14,Arsenal FC ECNL GU14,Sporting California USA,21540,13,0,13,0,0,0.0,3,98,-95
