rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,LAFC Slammers ECNL GU16,Slammers FC HB Koge,10076,13,12,0,1,37,2.85,50,6,44
2,Heat FC ECNL GU16,LV Heat Surf SC ,11814,16,11,2,3,36,2.25,48,19,29
3,San Diego Surf ECNL GU16,San Diego Surf Soccer Club,45878,13,8,1,4,28,2.15,26,8,18
4,So Cal Blues ECNL GU16,So Cal Blues,17811,13,7,5,1,22,1.69,26,25,1
5,Phoenix Rising ECNL GU16,Phoenix Rising FC,20446,15,8,6,1,25,1.67,31,27,4
6,Arsenal FC ECNL GU16,Sporting California USA,15648,13,5,3,5,20,1.54,25,20,5
7,SLAMMERS FC ECNL GU16,Slammers FC,17223,13,4,5,4,16,1.23,18,27,-9
8,Strikers FC ECNL GU16,Strikers FC ECNL,20460,15,5,8,2,17,1.13,29,32,-3
9,LA Breakers FC ECNL GU16,LA Breakers FC,34922,15,4,8,3,15,1.0,13,25,-12
10,Real So Cal ECNL GU16,LAFC So Cal,45890,14,3,6,5,14,1.0,14,20,-6
11,Eagles SC ECNL GU16,No Club Selection,5941,15,3,8,4,13,0.87,15,27,-12
12,Del Mar Sharks ECNL GU16,Legends FC - Del Mar,16163,13,2,6,5,11,0.85,8,22,-14
13,AZ Arsenal ECNL GU16,Arizona Arsenal Soccer Club,19165,15,3,9,3,12,0.8,19,43,-24
14,Rebels SC ECNL GU16,Rebels Soccer Club,2399,13,2,10,1,7,0.54,18,39,-21
