rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,LAFC Slammers ECNL GU17,Slammers FC HB Koge,10942,13,12,0,1,37,2.85,38,8,30
2,So Cal Blues ECNL GU17,So Cal Blues,8953,13,9,2,2,29,2.23,38,10,28
3,Real So Cal ECNL GU17,LAFC So Cal,45891,14,9,4,1,28,2.0,28,13,15
4,San Diego Surf ECNL GU17,San Diego Surf Soccer Club,45879,13,7,3,3,24,1.85,35,10,25
5,LA Breakers FC ECNL GU17,LA Breakers FC,19486,15,8,5,2,26,1.73,20,26,-6
6,Heat FC ECNL GU17,LV Heat Surf SC ,11617,16,7,3,6,27,1.69,28,13,15
7,SLAMMERS FC ECNL GU17,Slammers FC,11614,13,6,3,4,22,1.69,15,14,1
8,Phoenix Rising ECNL GU17,Phoenix Rising FC,20447,15,6,5,4,22,1.47,24,16,8
9,AZ Arsenal ECNL GU17,Arizona Arsenal Soccer Club,20435,15,5,6,4,19,1.27,27,30,-3
10,Arsenal FC ECNL GU17,Sporting California USA,11616,13,3,7,3,12,0.92,23,28,-5
11,Rebels SC ECNL GU17,Rebels Soccer Club,29778,13,3,8,2,11,0.85,14,28,-14
12,Strikers FC ECNL GU17,Strikers FC ECNL,7629,15,2,10,3,9,0.6,17,41,-24
13,Eagles SC ECNL GU17,No Club Selection,2195,14,0,10,4,4,0.29,12,46,-34
14,Del Mar Sharks ECNL GU17,Legends FC - Del Mar,10859,12,0,11,1,1,0.08,5,41,-36
