rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,LAFC Slammers ECNL GU15,Slammers FC HB Koge,17118,13,12,0,1,37,2.85,55,6,49
2,San Diego Surf ECNL GU15,San Diego Surf Soccer Club,45877,13,11,0,2,35,2.69,55,1,54
3,So Cal Blues ECNL GU15,So Cal Blues,13344,13,11,2,0,33,2.54,48,8,40
4,Real So Cal ECNL GU15,LAFC So Cal,45889,14,9,2,3,30,2.14,33,14,19
5,SLAMMERS FC ECNL GU15,Slammers FC,9292,13,7,4,2,23,1.77,18,11,7
6,Strikers FC ECNL GU15,Strikers FC ECNL,20461,15,7,6,2,23,1.53,28,36,-8
7,Rebels SC ECNL GU15,Rebels Soccer Club,35184,12,5,6,1,16,1.33,19,13,6
8,Phoenix Rising ECNL GU15,Phoenix Rising FC,20445,15,6,8,1,19,1.27,18,36,-18
9,LA Breakers FC ECNL GU15,No Club Selection,19489,15,5,7,3,18,1.2,14,29,-15
10,Heat FC ECNL GU15,LV Heat Surf SC ,20442,16,5,7,4,19,1.19,24,38,-14
11,AZ Arsenal ECNL GU15,Arizona Arsenal Soccer Club,20434,15,4,9,2,14,0.93,15,29,-14
12,Eagles SC ECNL GU15,No Club Selection,35181,13,1,11,1,4,0.31,4,40,-36
13,Del Mar Sharks ECNL GU15,Legends FC - Del Mar,9899,12,1,11,0,3,0.25,2,39,-37
14,Arsenal FC ECNL GU15,Sporting California USA,20440,13,1,12,0,3,0.23,7,40,-33
