rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,So Cal Blues ECNL GU13,So Cal Blues,60035,23,19,1,3,60,2.61,87,13,74
2,Slammers FC HB Koge ECNL GU13,Slammers FC HB Koge,54921,23,16,2,5,53,2.3,57,16,41
3,San Diego Surf ECNL GU13,San Diego Surf Soccer Club,61178,23,13,4,6,45,1.96,59,24,35
4,AZ Arsenal ECNL GU13,Arizona Arsenal Soccer Club,58586,23,13,9,1,40,1.74,36,33,3
5,Del Mar Sharks ECNL GU13,Legends FC - Del Mar,53810,23,12,7,4,40,1.74,37,35,2
6,Strikers FC ECNL GU13,Strikers FC ECNL,59677,23,3,17,3,12,0.52,19,56,-37
7,Phoenix Rising ECNL GU13,Phoenix Rising FC,59771,23,3,18,2,11,0.48,18,65,-47
8,Rebels SC ECNL GU13,Rebels Soccer Club,26385,23,2,17,4,10,0.43,15,60,-45
