rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Internationals SC ECNL GU15,Internationals SC,20363,18,14,1,3,45,2.5,72,18,54
2,Ohio Premier ECNL GU15,Ohio Premier,20367,18,13,3,2,41,2.28,40,14,26
3,WNY Flash Academy ECNL GU15,WNY Flash Academy,20373,18,9,5,4,31,1.72,39,21,18
4,Tennessee Soccer Club ECNL GU15,Tennessee SC,20371,18,7,6,5,26,1.44,25,21,4
5,Indiana Fire ECNL GU15,Indy Eleven Academy,20361,18,6,7,5,23,1.28,18,24,-6
6,FC Pride Elite ECNL GU15,No Club Selection,19737,18,6,8,4,22,1.22,18,27,-9
7,FC Alliance ECNL GU15,FC Alliance TN,20358,18,4,6,8,20,1.11,15,17,-2
8,Ohio Elite Soccer Academy ECNL GU15,Ohio Elite Soccer Academy,20365,18,5,11,2,17,0.94,19,33,-14
9,Racing Louisville Academy ECNL GU15,Racing Louisville Academy,45895,18,4,9,5,17,0.94,14,34,-20
10,Pittsburgh Riverhounds ECNL GU15,Pittsburgh Riverhounds,20369,18,1,13,4,7,0.39,9,60,-51
