rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,FC Pride Elite ECNL GU17,No Club Selection,10871,18,12,4,2,38,2.11,46,25,21
2,Ohio Elite Soccer Academy ECNL GU17,Ohio Elite Soccer Academy,11602,18,11,3,4,37,2.06,42,13,29
3,Tennessee Soccer Club ECNL GU17,Tennessee SC,10849,18,8,4,6,30,1.67,27,14,13
4,WNY Flash Academy ECNL GU17,WNY Flash Academy,7612,18,8,4,6,30,1.67,36,30,6
5,Ohio Premier ECNL GU17,Ohio Premier,11601,18,8,7,3,27,1.5,28,23,5
6,Internationals SC ECNL GU17,Internationals SC,7624,18,8,7,3,27,1.5,36,35,1
7,Indiana Fire ECNL GU17,Indy Eleven Academy,7496,18,7,7,4,25,1.39,30,26,4
8,Pittsburgh Riverhounds ECNL GU17,Pittsburgh Riverhounds,10889,18,7,9,2,23,1.28,22,35,-13
9,FC Alliance ECNL GU17,FC Alliance TN,11603,18,5,12,1,16,0.89,20,34,-14
10,Racing Louisville Academy ECNL GU17,Racing Louisville Academy,45897,18,0,17,1,1,0.06,20,72,-52
