rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,WNY Flash Academy ECNL GU16,WNY Flash Academy,12532,18,11,4,3,36,2.0,57,22,35
2,FC Alliance ECNL GU16,FC Alliance TN,12536,18,10,5,3,33,1.83,39,21,18
3,Tennessee Soccer Club ECNL GU16,Tennessee SC,11643,18,10,5,3,33,1.83,23,21,2
4,Ohio Premier ECNL GU16,Ohio Premier,12300,18,8,4,6,30,1.67,28,21,7
5,Pittsburgh Riverhounds ECNL GU16,Pittsburgh Riverhounds,12533,18,9,6,3,30,1.67,29,28,1
6,Ohio Elite Soccer Academy ECNL GU16,Ohio Elite Soccer Academy,7589,18,8,6,4,28,1.56,30,24,6
7,Internationals SC ECNL GU16,Internationals SC,12534,18,7,7,4,25,1.39,28,27,1
8,FC Pride Elite ECNL GU16,No Club Selection,11110,18,4,7,7,19,1.06,19,27,-8
9,Indiana Fire ECNL GU16,Indy Eleven Academy,20362,18,2,13,3,9,0.5,10,51,-41
10,Racing Louisville Academy ECNL GU16,Racing Louisville Academy,45896,18,2,14,2,8,0.44,17,38,-21
