rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Internationals SC ECNL GU14,Internationals SC,35240,18,16,1,1,49,2.72,80,12,68
2,Indiana Fire ECNL GU14,Indy Eleven Academy,23407,18,16,1,1,49,2.72,57,10,47
3,Tennessee Soccer Club ECNL GU14,Tennessee SC,35277,18,12,4,2,38,2.11,51,16,35
4,Ohio Premier ECNL GU14,Ohio Premier,33377,17,9,5,3,30,1.76,34,25,9
5,Pittsburgh Riverhounds ECNL GU14,No Club Selection,35276,18,8,9,1,25,1.39,24,24,0
6,Ohio Elite Soccer Academy ECNL GU14,Ohio Elite Soccer Academy,35241,18,5,12,1,16,0.89,17,47,-30
7,WNY Flash Academy ECNL GU14,WNY Flash Academy,35279,17,4,10,3,15,0.88,16,28,-12
8,FC Pride Elite ECNL GU14,No Club Selection,35239,18,3,11,4,13,0.72,9,33,-24
9,FC Alliance ECNL GU14,FC Alliance TN,35238,18,3,12,3,12,0.67,9,56,-47
10,Racing Louisville Academy ECNL GU14,Racing Louisville Academy,45894,18,2,13,3,9,0.5,5,51,-46
