rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Florida Kraze Krush ECNL G2011/12,Florida Kraze Krush,46056,5,5,0,0,15,3.0,19,4,15
2,Concorde Fire Platinum ECNL G2011/12,Concorde Fire ,89731,4,3,0,1,10,2.5,18,2,16
3,Florida Premier FC ECNL G2011/12,Florida Premier FC,89665,4,3,0,1,10,2.5,14,4,10
4,Team Boca ECNL G2011/12,Team Boca,131998,3,2,0,1,7,2.33,7,2,5
5,GSA ECNL G2011/12,Gwinnett Soccer Academy,131499,4,3,1,0,9,2.25,11,7,4
6,Concorde Fire Premier ECNL G2011/12,Concorde Fire ,89720,3,2,1,0,6,2.0,9,7,2
7,Athletic Club Florida ECNL G2011/12,Athletic Club Florida,83371,4,2,1,1,7,1.75,9,4,5
8,Tampa Bay United ECNL G2011/12,Tampa Bay United,69068,4,2,2,0,6,1.5,7,11,-4
9,CESA Liberty ECNL G2011/12,Carolina Elite Soccer Academy,78145,4,1,1,2,5,1.25,5,4,1
10,Seminole United ECNL G2011/12,Seminole United,94621,5,2,3,0,6,1.2,9,14,-5
11,United Futbol Academy ECNL G2011/12,United Futbol Academy,81903,4,1,2,1,4,1.0,4,5,-1
12,Jacksonville FC ECNL G2011/12,Jacksonville FC,89659,5,1,3,1,4,0.8,3,15,-12
13,Atlanta Fire United ECNL G2011/12,Atlanta Fire United,79871,4,1,3,0,3,0.75,6,10,-4
14,Alabama FC ECNL G2011/12,Alabama FC,65968,4,1,3,0,3,0.75,6,12,-6
15,South Carolina United ECNL G2011/12,South Carolina United FC,89551,4,0,4,0,0,0.0,3,15,-12
16,Sporting SA JAX ECNL G2011/12,Sporting SA,69334,5,0,5,0,0,0.0,1,15,-14
