rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Atlanta Fire United ECNL G2009/10,Atlanta Fire United,67127,4,3,0,1,10,2.5,29,5,24
2,GSA ECNL G2009/10,Gwinnett Soccer Academy,131497,4,3,0,1,10,2.5,19,2,17
3,Concorde Fire Platinum ECNL G2009/10,Concorde Fire ,68802,4,3,1,0,9,2.25,15,8,7
4,Athletic Club Florida ECNL G2009/10,Athletic Club Florida,46728,4,3,1,0,9,2.25,8,2,6
5,Alabama FC ECNL G2009/10,Alabama FC,69023,4,3,1,0,9,2.25,12,7,5
6,Concorde Fire Premier ECNL G2009/10,Concorde Fire ,68797,4,3,1,0,9,2.25,10,6,4
7,United Futbol Academy ECNL G2009/10,United Futbol Academy,59536,4,3,1,0,9,2.25,9,5,4
8,Florida Premier FC ECNL G2009/10,Florida Premier FC,69293,4,2,0,2,8,2.0,16,7,9
9,Seminole United ECNL G2009/10,Seminole United,69112,5,2,2,1,7,1.4,8,11,-3
10,CESA Liberty ECNL G2009/10,Carolina Elite Soccer Academy,46817,4,1,1,2,5,1.25,3,5,-2
11,South Carolina United ECNL G2009/10,South Carolina United FC,66055,4,1,2,1,4,1.0,6,7,-1
12,Florida Kraze Krush ECNL G2009/10,Florida Kraze Krush,34955,5,1,4,0,3,0.6,8,11,-3
13,Sporting SA JAX ECNL G2009/10,Sporting SA,45064,5,1,4,0,3,0.6,3,23,-20
14,Team Boca ECNL G2009/10,Team Boca,131996,4,0,2,2,2,0.5,3,10,-7
15,Tampa Bay United ECNL G2009/10,Tampa Bay United,49144,4,0,4,0,0,0.0,4,20,-16
16,Jacksonville FC ECNL G2009/10,Jacksonville FC,69484,5,0,5,0,0,0.0,0,24,-24
