rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Concorde Fire Platinum ECNL G2010/11,Concorde Fire ,81340,4,4,0,0,12,3.0,19,3,16
2,Florida Kraze Krush ECNL G2010/11,Florida Kraze Krush,34957,5,4,0,1,13,2.6,8,1,7
3,Atlanta Fire United ECNL G2010/11,Atlanta Fire United,79893,4,3,1,0,9,2.25,9,5,4
4,Team Boca ECNL G2010/11,Team Boca,131997,4,3,1,0,9,2.25,8,5,3
5,GSA ECNL G2010/11,Gwinnett Soccer Academy,131498,4,2,0,2,8,2.0,8,4,4
6,Florida Premier FC ECNL G2010/11,Florida Premier FC,69294,4,2,1,1,7,1.75,9,4,5
7,Alabama FC ECNL G2010/11,Alabama FC,81762,4,2,1,1,7,1.75,7,2,5
8,CESA Liberty ECNL G2010/11,Carolina Elite Soccer Academy,65585,4,2,2,0,6,1.5,8,5,3
9,Concorde Fire Premier ECNL G2010/11,Concorde Fire ,81344,4,2,2,0,6,1.5,6,4,2
10,Athletic Club Florida ECNL G2010/11,Athletic Club Florida,46727,4,2,2,0,6,1.5,10,9,1
11,Sporting SA JAX ECNL G2010/11,Sporting SA,65960,5,1,2,2,5,1.0,7,12,-5
12,Seminole United ECNL G2010/11,Seminole United,80370,5,1,3,1,4,0.8,4,10,-6
13,Tampa Bay United ECNL G2010/11,Tampa Bay United,69067,4,1,3,0,3,0.75,2,10,-8
14,Jacksonville FC ECNL G2010/11,Jacksonville FC,81133,5,1,4,0,3,0.6,6,15,-9
15,United Futbol Academy ECNL G2010/11,United Futbol Academy,78164,4,0,4,0,0,0.0,1,9,-8
16,South Carolina United ECNL G2010/11,South Carolina United FC,78158,4,0,4,0,0,0.0,1,15,-14
