rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,PDA Blue ECNL GU16,PDA Blue (North),1792,4,4,0,0,12,3.0,19,8,11
2,LAFC Slammers ECNL GU16,Slammers FC HB Koge,10076,4,4,0,0,12,3.0,9,2,7
3,Richmond United ECNL GU16,Richmond United,11507,4,3,0,1,10,2.5,9,5,4
4,Tampa Bay United Rowdies ECNL GU16,Tampa Bay United,11775,4,3,0,1,10,2.5,6,2,4
5,Real Colorado National ECNL GU16,Real Colorado,45856,3,2,0,1,7,2.33,7,3,4
6,FC Dallas ECNL GU16,FC Dallas Youth,46785,3,2,0,1,7,2.33,3,1,2
7,WNY Flash Academy ECNL GU16,WNY Flash Academy,12532,3,2,1,0,6,2.0,8,7,1
8,Kansas City Athletics ECNL GU16,KC Athletics,19372,3,2,1,0,6,2.0,3,3,0
9,Crossfire Premier ECNL GU16,Crossfire Premier,12590,3,2,1,0,6,2.0,6,7,-1
10,World Class FC ECNL GU16,World Class FC,12262,4,2,1,1,7,1.75,9,4,5
11,Solar SC ECNL GU16,Solar SC,11427,4,2,1,1,7,1.75,10,6,4
12,Michigan Hawks ECNL GU16,Michigan Hawks,19897,4,2,1,1,7,1.75,8,4,4
13,Sunrise Prime FC ECNL GU16,Athletic Club Florida,19371,3,1,0,2,5,1.67,5,4,1
14,PDA White ECNL GU16,Players Development Academy,1866,4,2,2,0,6,1.5,8,7,1
15,SLSG Navy ECNL GU16,St. Louis Scott Gallagher,11283,3,1,1,1,4,1.33,5,3,2
16,DeAnza Force ECNL GU16,Force,45844,3,1,1,1,4,1.33,5,3,2
17,GSA ECNL GU16,Gwinnett Soccer Academy,11636,3,1,1,1,4,1.33,7,6,1
18,Heat FC ECNL GU16,LV Heat Surf SC ,11814,3,1,1,1,4,1.33,7,8,-1
19,FC Alliance ECNL GU16,FC Alliance TN,12536,3,1,1,1,4,1.33,5,7,-2
20,San Diego Surf ECNL GU16,San Diego Surf Soccer Club,45878,3,1,2,0,3,1.0,7,6,1
21,FC Stars Blue ECNL GU16,FC Stars,19892,3,1,2,0,3,1.0,3,4,-1
22,NC Courage ECNL GU16,NC Courage Academy,44731,3,1,2,0,3,1.0,6,8,-2
23,DKSC ECNL GU16,No Club Selection,11872,3,1,2,0,3,1.0,3,5,-2
24,Charlotte SA ECNL GU16,Charlotte Soccer Academy,44724,3,1,2,0,3,1.0,4,7,-3
25,Tennessee Soccer Club ECNL GU16,Tennessee SC,11643,3,1,2,0,3,1.0,3,8,-5
26,Davis Legacy ECNL GU16,Davis Legacy Soccer Club,11107,3,0,2,1,1,0.33,7,11,-4
27,Real Colorado Athletico ECNL GU16,Real Colorado,46446,3,0,2,1,1,0.33,4,9,-5
28,San Juan SC ECNL GU16,San Juan Soccer Club,12597,3,0,3,0,0,0.0,3,7,-4
29,So Cal Blues ECNL GU16,So Cal Blues,17811,3,0,3,0,0,0.0,5,10,-5
30,Portland Thorns ECNL GU16,Portland Thorns FC,45862,3,0,3,0,0,0.0,2,7,-5
31,Florida Elite SA ECNL GU16,Sporting SA,11546,3,0,3,0,0,0.0,2,9,-7
32,Match Fit Academy ECNL GU16,Match Fit Surf,12263,3,0,3,0,0,0.0,2,9,-7
