rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Solar SC ECNL GU17,Solar SC,11589,4,4,0,0,12,3.0,13,1,12
2,MVLA ECNL GU17,MVLA,11586,4,4,0,0,12,3.0,11,1,10
3,LAFC Slammers ECNL GU17,Slammers FC HB Koge,10942,4,4,0,0,12,3.0,11,3,8
4,United Futbol Academy ECNL U17,United Futbol Academy,45838,4,3,0,1,10,2.5,14,8,6
5,DKSC ECNL GU17,No Club Selection,11588,3,2,0,1,7,2.33,7,3,4
6,SUSA FC ECNL GU17,SUSA FC,19410,3,2,0,1,7,2.33,9,7,2
7,Real Colorado National ECNL GU17,Real Colorado,45857,4,3,1,0,9,2.25,17,5,12
8,So Cal Blues ECNL GU17,So Cal Blues,8953,3,2,1,0,6,2.0,8,5,3
9,Michigan Hawks ECNL GU17,Michigan Hawks,19898,3,2,1,0,6,2.0,6,4,2
10,Richmond United ECNL GU17,Richmond United,7536,3,2,1,0,6,2.0,3,1,2
11,FC Pride ECNL GU17,No Club Selection,10871,3,2,1,0,6,2.0,6,10,-4
12,Concorde Fire Platinum ECNL GU17,Concorde Fire ,19903,4,2,1,1,7,1.75,14,8,6
13,Ohio Elite Soccer Academy ECNL GU17,Ohio Elite Soccer Academy,11602,4,2,1,1,7,1.75,10,8,2
14,FC Dallas ECNL GU17,FC Dallas Youth,46786,4,2,1,1,7,1.75,3,2,1
15,Charlotte SA ECNL GU17,Charlotte Soccer Academy,44725,3,1,1,1,4,1.33,3,2,1
16,East Meadow SC ECNL GU17,East Meadow Soccer Club,11575,3,1,1,1,4,1.33,5,7,-2
17,SLSG Navy ECNL GU17,St. Louis Scott Gallagher,11284,3,1,1,1,4,1.33,3,5,-2
18,Tennessee Soccer Club ECNL GU17,Tennessee SC,10849,3,1,1,1,4,1.33,1,4,-3
19,PDA Blue ECNL GU17,PDA Blue (North),19877,3,1,2,0,3,1.0,4,5,-1
20,San Diego Surf ECNL GU17,San Diego Surf Soccer Club,45879,3,1,2,0,3,1.0,7,9,-2
21,Match Fit Academy ECNL GU17,Match Fit Surf,2166,3,1,2,0,3,1.0,5,8,-3
22,Eastside FC ECNL GU17,Eastside FC (WA),35154,3,1,2,0,3,1.0,2,6,-4
23,FC Stars White ECNL GU17,FC Stars,7119,3,1,2,0,3,1.0,3,9,-6
24,San Juan SC ECNL GU17,San Juan Soccer Club,7758,3,0,1,2,2,0.67,1,2,-1
25,Real So Cal ECNL GU17,LAFC So Cal,45891,3,0,2,1,1,0.33,0,3,-3
26,NC Courage ECNL GU17,NC Courage Academy,44732,3,0,2,1,1,0.33,5,10,-5
27,Minnesota Thunder ECNL GU17,No Club Selection,11564,3,0,3,0,0,0.0,6,9,-3
28,Sunrise Prime FC ECNL GU17,Athletic Club Florida,20329,3,0,3,0,0,0.0,8,12,-4
29,Crossfire Premier ECNL GU17,Crossfire Premier,11576,3,0,3,0,0,0.0,3,7,-4
30,McLean YSA ECNL GU17,McLean Youth Soccer,11504,3,0,3,0,0,0.0,4,11,-7
31,Crossfire United ECNL GU17,Oregon Surf SC,10434,3,0,3,0,0,0.0,3,11,-8
32,Utah Avalanche ECNL 04,Utah Avalanche,11580,3,0,3,0,0,0.0,2,11,-9
