rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Solar SC ECNL GU14,Solar SC,20122,4,4,0,0,12,3.0,23,1,22,U14,Champions League
2,Jacksonville FC ECNL GU14,No Club Selection,35265,4,4,0,0,12,3.0,14,4,10,U14,Champions League
3,So Cal Blues ECNL GU14,So Cal Blues,35189,4,4,0,0,12,3.0,9,2,7,U14,Champions League
4,LAFC Slammers ECNL GU14,Slammers FC HB Koge,8995,4,3,0,1,10,2.5,12,5,7,U14,Champions League
5,San Diego Surf ECNL GU14,San Diego Surf Soccer Club,45876,4,3,1,0,9,2.25,15,4,11,U14,Champions League
6,Indiana Fire ECNL GU14,Indy Eleven Academy,23407,4,3,1,0,9,2.25,10,4,6,U14,Champions League
7,Michigan Hawks  ECNL GU14,Michigan Hawks,35251,4,3,1,0,9,2.25,7,3,4,U14,Champions League
8,McLean YSA ECNL GU14,Fairfax Virginia Union,25892,3,2,1,0,6,2.0,7,1,6,U14,Champions League
9,PDA Blue ECNL GU14,PDA Blue (North),1967,3,2,1,0,6,2.0,9,5,4,U14,Champions League
10,Match Fit Academy ECNL GU14,Match Fit Surf,34504,3,2,1,0,6,2.0,9,6,3,U14,Champions League
11,San Juan SC ECNL GU14,San Juan Soccer Club,35173,3,2,1,0,6,2.0,8,6,2,U14,Champions League
12,SLSG Navy ECNL GU14,St. Louis Scott Gallagher,34464,3,2,1,0,6,2.0,8,7,1,U14,Champions League
13,MVLA ECNL GU14,MVLA,35169,4,2,1,1,7,1.75,9,10,-1,U14,Champions League
14,FC Dallas ECNL GU14,FC Dallas Youth,46783,3,1,0,2,5,1.67,9,4,5,U14,Champions League
15,Sting Dallas Royal ECNL GU14,Sting Soccer Club,45801,3,1,1,1,4,1.33,7,5,2,U14,Champions League
16,Real Colorado National ECNL GU14,Real Colorado,45854,3,1,1,1,4,1.33,2,2,0,U14,Champions League
17,Connecticut FC ECNL GU14,Connecticut FC,24089,3,1,1,1,4,1.33,3,4,-1,U14,Champions League
18,Charlotte SA ECNL GU14,Charlotte Soccer Academy,44722,3,1,1,1,4,1.33,3,6,-3,U14,Champions League
19,Internationals SC ECNL GU14,Internationals SC,35240,3,1,2,0,3,1.0,6,5,1,U14,Champions League
20,Bethesda SC ECNL GU14,Bethesda SC,35273,3,1,2,0,3,1.0,4,3,1,U14,Champions League
21,GSA ECNL GU14,Gwinnett Soccer Academy,33371,3,1,2,0,3,1.0,7,7,0,U14,Champions League
22,Orlando City ECNL GU14,Seminole United,35258,3,1,2,0,3,1.0,3,6,-3,U14,Champions League
23,Minnesota Thunder ECNL GU14,No Club Selection,35253,3,1,2,0,3,1.0,5,11,-6,U14,Champions League
24,Tennessee Soccer Club ECNL GU14,Tennessee SC,35277,3,1,2,0,3,1.0,4,11,-7,U14,Champions League
25,Crossfire Premier ECNL GU14,No Club Selection,26840,3,0,2,1,1,0.33,3,8,-5,U14,Champions League
26,Tampa Bay United Rowdies ECNL GU14,Tampa Bay United,21279,3,0,2,1,1,0.33,2,8,-6,U14,Champions League
27,Eagles SC ECNL GU14,No Club Selection,1153,3,0,3,0,0,0.0,4,11,-7,U14,Champions League
28,SUSA FC ECNL GU14,SUSA FC,33738,3,0,3,0,0,0.0,2,11,-9,U14,Champions League
29,Eclipse Select SC ECNL GU14,Eclipse Select Soccer Club,13614,3,0,3,0,0,0.0,3,13,-10,U14,Champions League
30,Loudoun Soccer ECNL GU14,Northern Virginia Alliance,35287,3,0,3,0,0,0.0,1,11,-10,U14,Champions League
31,Utah Avalanche ECNL 07,Utah Avalanche,35178,3,0,3,0,0,0.0,4,15,-11,U14,Champions League
32,FC Portland ECNL GU14,FC Portland Academy,35159,3,0,3,0,0,0.0,5,18,-13,U14,Champions League
1,Solar SC ECNL GU15,Solar SC,11423,3,3,0,0,9,3.0,16,0,16,U15,Champions League
2,Kansas City Athletics ECNL GU15,KC Athletics,19672,3,2,0,1,7,2.33,13,3,10,U15,Champions League
3,Colorado Rapids ECNL GU15,Colorado Storm,21349,3,2,0,1,7,2.33,8,1,7,U15,Champions League
4,San Diego Surf ECNL GU15,San Diego Surf Soccer Club,45877,3,2,0,1,7,2.33,6,0,6,U15,Champions League
5,Internationals SC ECNL GU15,Internationals SC,20363,3,2,0,1,7,2.33,8,3,5,U15,Champions League
6,PDA Blue ECNL GU15,PDA Blue (North),1822,3,2,0,1,7,2.33,6,2,4,U15,Champions League
7,Challenge SC ECNL GU15,Challenge SC,20382,3,2,0,1,7,2.33,3,0,3,U15,Champions League
8,FC Dallas ECNL GU15,FC Dallas Youth,46784,3,2,0,1,7,2.33,3,1,2,U15,Champions League
9,GSA ECNL GU15,Gwinnett Soccer Academy,20326,3,2,1,0,6,2.0,9,3,6,U15,Champions League
10,Ohio Premier ECNL GU15,Ohio Premier,20367,3,2,1,0,6,2.0,4,5,-1,U15,Champions League
11,SUSA FC ECNL GU15,SUSA FC,20356,3,1,0,2,5,1.67,3,1,2,U15,Champions League
12,WNY Flash Academy ECNL GU15,WNY Flash Academy,20373,3,1,0,2,5,1.67,4,3,1,U15,Champions League
13,World Class FC ECNL GU15,World Class FC,20357,3,1,0,2,5,1.67,3,2,1,U15,Champions League
14,So Cal Blues ECNL GU15,So Cal Blues,13344,3,1,0,2,5,1.67,3,2,1,U15,Champions League
15,LAFC Slammers ECNL GU15,Slammers FC HB Koge,17118,3,1,0,2,5,1.67,2,1,1,U15,Champions League
