rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,FC Stars Blue ECNL GU18/U19,FC Stars,19894,14,13,1,0,39,2.79,63,6,57
2,PDA White ECNL GU18/U19,Players Development Academy,1832,13,8,3,2,26,2.0,30,9,21
3,FSA FC ECNL GU18/U19,FSA FC,4061,15,9,6,0,27,1.8,31,22,9
4,East Meadow SC ECNL GU18/U19,East Meadow Soccer Club,6882,16,9,6,1,28,1.75,25,32,-7
5,World Class FC ECNL GU18/U19,World Class FC,6915,14,7,5,2,23,1.64,16,17,-1
6,Scorpions Soccer ECNL GU18/U19,Scorpions SC,3833,16,7,7,2,23,1.44,28,43,-15
7,FC Stars White ECNL GU18/U19,FC Stars,1597,14,4,8,2,14,1.0,21,34,-13
8,SUSA FC ECNL GU18/U19,SUSA FC,19411,16,4,11,1,13,0.81,23,36,-13
9,Connecticut FC ECNL GU18/U19,Connecticut FC,6885,16,0,14,2,2,0.13,16,54,-38
