date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-05-26,06:30 PM,Bracket,East Meadow SC ECNL GU15,1,1,PDA White ECNL GU15,Cantiague Park,West,On Time,173144
2021-05-26,08:00 PM,Bracket,FC Stars Blue ECNL GU15,3,0,Scorpions Soccer ECNL GU15,FC Stars Complex,Field 1,On Time,173119
2021-05-27,06:00 PM,Bracket,Connecticut FC ECNL GU15,6,1,FSA FC ECNL GU15,CFC Park,Field 2,On Time,173120
2021-05-29,11:00 AM,Bracket,Connecticut FC ECNL GU15,0,1,SUSA FC ECNL GU15,CFC Park,Field 1,On Time,173117
2021-05-29,03:30 PM,Bracket,FC Stars White ECNL GU15,1,0,World Class FC ECNL GU15,Acton Boxboro HS,Field 1,On Time,173129
2021-05-30,12:00 PM,Bracket,East Meadow SC ECNL GU15,2,1,FSA FC ECNL GU15,East Meadow Field of Dreams,North Turf,On Time,173164
2021-05-31,09:00 AM,Bracket,SUSA FC ECNL GU15,0,1,Connecticut FC ECNL GU15,SUSA - Orlin & Cohen Sports Complex,Field 2,On Time,173184
2021-06-06,08:00 AM,Bracket,FC Stars Blue ECNL GU15,,,World Class FC ECNL GU15,FC Stars Complex,Field 1,On Time,173132
2021-06-06,08:00 AM,Bracket,FC Stars White ECNL GU15,,,PDA White ECNL GU15,FC Stars Soccer Complex,Field 2,On Time,173133
2021-06-09,07:00 PM,Bracket,FC Stars Blue ECNL GU15,1,3,Connecticut FC ECNL GU15,FC Stars Complex,Field 1,On Time,173136
2021-06-12,09:00 AM,Bracket,FC Stars Blue ECNL GU15,2,0,FSA FC ECNL GU15,FC Stars Complex,Field 3,On Time,173114
2021-06-12,10:00 AM,Bracket,Scorpions Soccer ECNL GU15,1,1,PDA White ECNL GU15,Medway High School,North Field (Lower Turf),On Time,173125
2021-06-12,05:00 PM,Bracket,East Meadow SC ECNL GU15,1,1,Connecticut FC ECNL GU15,East Meadow Field of Dreams,North Turf,On Time,173115
2021-06-13,09:00 AM,Bracket,FC Stars Blue ECNL GU15,3,1,PDA White ECNL GU15,FC Stars Complex,Field 3,On Time,173128
2021-06-13,02:15 PM,Bracket,Connecticut FC ECNL GU15,2,0,Scorpions Soccer ECNL GU15,CFC Park,Field 1,On Time,173183
2021-06-13,06:30 PM,Bracket,SUSA FC ECNL GU15,0,1,East Meadow SC ECNL GU15,SUSA - Orlin & Cohen Sports Complex,Field 2,On Time,173148
